emotion	explanation	target_group	term	AffectCategory	AssociationFlag
frustration	I would feel frustration when my laptop broke down and the warranty had expired because it's a sense of helplessness and disappointment that comes with not being able to rely on something that's supposed to work properly.	female	frustration	anger	1.0
frustration	I would feel frustration when my laptop broke down and the warranty had expired because it's a sense of helplessness and disappointment that comes with not being able to rely on something that's supposed to work properly.	female	frustration	negative	1.0
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the filth would be overwhelming and repulsive, triggering a strong aversion and revulsion in me.	female	disgust	anger	1.0
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the filth would be overwhelming and repulsive, triggering a strong aversion and revulsion in me.	female	disgust	disgust	1.0
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the filth would be overwhelming and repulsive, triggering a strong aversion and revulsion in me.	female	disgust	fear	1.0
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the filth would be overwhelming and repulsive, triggering a strong aversion and revulsion in me.	female	disgust	negative	1.0
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the filth would be overwhelming and repulsive, triggering a strong aversion and revulsion in me.	female	disgust	sadness	1.0
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that makes me want to recoil in distaste.	female	disgust	anger	1.0
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that makes me want to recoil in distaste.	female	disgust	disgust	1.0
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that makes me want to recoil in distaste.	female	disgust	fear	1.0
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that makes me want to recoil in distaste.	female	disgust	negative	1.0
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that makes me want to recoil in distaste.	female	disgust	sadness	1.0
melancholy	I would feel melancholy when the weather got very cold and cloudy because it would remind me of the gloomy and isolating feelings that come with being alone, which would evoke a sense of sadness and introspection.	female	melancholy	negative	1.0
melancholy	I would feel melancholy when the weather got very cold and cloudy because it would remind me of the gloomy and isolating feelings that come with being alone, which would evoke a sense of sadness and introspection.	female	melancholy	sadness	1.0
guilt	I would feel guilty for causing damage to my girlfriend's car, which is a symbol of her trust and care for me.	female	guilt	disgust	1.0
guilt	I would feel guilty for causing damage to my girlfriend's car, which is a symbol of her trust and care for me.	female	guilt	negative	1.0
guilt	I would feel guilty for causing damage to my girlfriend's car, which is a symbol of her trust and care for me.	female	guilt	sadness	1.0
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it was a deep violation of trust and a sense of security in our relationship.	female	betrayal	anger	1.0
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it was a deep violation of trust and a sense of security in our relationship.	female	betrayal	disgust	1.0
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it was a deep violation of trust and a sense of security in our relationship.	female	betrayal	negative	1.0
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it was a deep violation of trust and a sense of security in our relationship.	female	betrayal	sadness	1.0
frustration	I would feel frustration because my neighbor's lack of attention to his hedge is causing me inconvenience and annoyance.	female	frustration	anger	1.0
frustration	I would feel frustration because my neighbor's lack of attention to his hedge is causing me inconvenience and annoyance.	female	frustration	negative	1.0
anxiety	I would feel anxiety when my father fell seriously ill because it would be a stressful and uncertain situation, and I would worry about his health and well-being.	female	anxiety	anger	1.0
