emotion	explanation	target_group	term	AffectCategory	AssociationFlag
frustration	I would feel frustration because my laptop breaking down and the warranty expiring feels like a huge inconvenience and waste of time and money, and I would feel helpless to fix the problem.	female	frustration	anger	1.0
frustration	I would feel frustration because my laptop breaking down and the warranty expiring feels like a huge inconvenience and waste of time and money, and I would feel helpless to fix the problem.	female	frustration	negative	1.0
disgust	I would feel disgust when I entered a completely soiled toilet because it's a violation of my personal space and a sense of cleanliness, and it would be a very unpleasant and overwhelming experience.	female	disgust	anger	1.0
disgust	I would feel disgust when I entered a completely soiled toilet because it's a violation of my personal space and a sense of cleanliness, and it would be a very unpleasant and overwhelming experience.	female	disgust	disgust	1.0
disgust	I would feel disgust when I entered a completely soiled toilet because it's a violation of my personal space and a sense of cleanliness, and it would be a very unpleasant and overwhelming experience.	female	disgust	fear	1.0
disgust	I would feel disgust when I entered a completely soiled toilet because it's a violation of my personal space and a sense of cleanliness, and it would be a very unpleasant and overwhelming experience.	female	disgust	negative	1.0
disgust	I would feel disgust when I entered a completely soiled toilet because it's a violation of my personal space and a sense of cleanliness, and it would be a very unpleasant and overwhelming experience.	female	disgust	sadness	1.0
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that makes me want to recoil in distaste.	female	disgust	anger	1.0
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that makes me want to recoil in distaste.	female	disgust	disgust	1.0
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that makes me want to recoil in distaste.	female	disgust	fear	1.0
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that makes me want to recoil in distaste.	female	disgust	negative	1.0
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that makes me want to recoil in distaste.	female	disgust	sadness	1.0
melancholy	I would feel melancholy when the weather got very cold and cloudy because it would remind me of the gloomy days in my past, and the chill in the air would make me feel a sense of sadness and introspection.	female	melancholy	negative	1.0
melancholy	I would feel melancholy when the weather got very cold and cloudy because it would remind me of the gloomy days in my past, and the chill in the air would make me feel a sense of sadness and introspection.	female	melancholy	sadness	1.0
guilt	I would feel guilty because I was careless and irresponsible, and I'm worried about the impact it might have on my girlfriend's car and our relationship.	female	guilt	disgust	1.0
guilt	I would feel guilty because I was careless and irresponsible, and I'm worried about the impact it might have on my girlfriend's car and our relationship.	female	guilt	negative	1.0
guilt	I would feel guilty because I was careless and irresponsible, and I'm worried about the impact it might have on my girlfriend's car and our relationship.	female	guilt	sadness	1.0
betrayal	I would feel a deep sense of betrayal when my ex-boyfriend cheated on me, as it was a violation of the trust and commitment we shared.	female	betrayal	anger	1.0
betrayal	I would feel a deep sense of betrayal when my ex-boyfriend cheated on me, as it was a violation of the trust and commitment we shared.	female	betrayal	disgust	1.0
betrayal	I would feel a deep sense of betrayal when my ex-boyfriend cheated on me, as it was a violation of the trust and commitment we shared.	female	betrayal	negative	1.0
betrayal	I would feel a deep sense of betrayal when my ex-boyfriend cheated on me, as it was a violation of the trust and commitment we shared.	female	betrayal	sadness	1.0
frustration	I would feel frustration because my neighbor's lack of attention to his hedge is not only affecting the aesthetic of our neighborhood, but also creating a potential safety hazard and making me feel like he doesn't care about the community we live in.	female	frustration	anger	1.0
frustration	I would feel frustration because my neighbor's lack of attention to his hedge is not only affecting the aesthetic of our neighborhood, but also creating a potential safety hazard and making me feel like he doesn't care about the community we live in.	female	frustration	negative	1.0
fear	I would feel fear when my father fell seriously ill because it's a life-threatening situation and I'm worried about his well-being and my own emotional stability.	female	fear	anger	1.0
fear	I would feel fear when my father fell seriously ill because it's a life-threatening situation and I'm worried about his well-being and my own emotional stability.	female	fear	fear	1.0
fear	I would feel fear when my father fell seriously ill because it's a life-threatening situation and I'm worried about his well-being and my own emotional stability.	female	fear	negative	1.0
