emotion	explanation	target_group	term	AffectCategory	AssociationFlag
frustration	I would feel frustration because my laptop breaking down and the warranty expiring would mean I have to spend money to fix or replace it, which is an inconvenience and a waste of my resources.	male	frustration	anger	1.0
frustration	I would feel frustration because my laptop breaking down and the warranty expiring would mean I have to spend money to fix or replace it, which is an inconvenience and a waste of my resources.	male	frustration	negative	1.0
disgust	I would feel disgust when I enter a completely soiled toilet because it's a violation of my personal space and hygiene, and it's a very unpleasant and unclean environment.	male	disgust	anger	1.0
disgust	I would feel disgust when I enter a completely soiled toilet because it's a violation of my personal space and hygiene, and it's a very unpleasant and unclean environment.	male	disgust	disgust	1.0
disgust	I would feel disgust when I enter a completely soiled toilet because it's a violation of my personal space and hygiene, and it's a very unpleasant and unclean environment.	male	disgust	fear	1.0
disgust	I would feel disgust when I enter a completely soiled toilet because it's a violation of my personal space and hygiene, and it's a very unpleasant and unclean environment.	male	disgust	negative	1.0
disgust	I would feel disgust when I enter a completely soiled toilet because it's a violation of my personal space and hygiene, and it's a very unpleasant and unclean environment.	male	disgust	sadness	1.0
disgust	I would feel disgust when I stepped into dog shit because it's a foul and unpleasant experience that makes me want to quickly get away from it.	male	disgust	anger	1.0
disgust	I would feel disgust when I stepped into dog shit because it's a foul and unpleasant experience that makes me want to quickly get away from it.	male	disgust	disgust	1.0
disgust	I would feel disgust when I stepped into dog shit because it's a foul and unpleasant experience that makes me want to quickly get away from it.	male	disgust	fear	1.0
disgust	I would feel disgust when I stepped into dog shit because it's a foul and unpleasant experience that makes me want to quickly get away from it.	male	disgust	negative	1.0
disgust	I would feel disgust when I stepped into dog shit because it's a foul and unpleasant experience that makes me want to quickly get away from it.	male	disgust	sadness	1.0
irritation	I would feel irritation when the weather got very cold and cloudy because it would make me want to stay indoors and avoid any outdoor activities, which would be a disruption to my daily routine and plans.	male	irritation	anger	1.0
irritation	I would feel irritation when the weather got very cold and cloudy because it would make me want to stay indoors and avoid any outdoor activities, which would be a disruption to my daily routine and plans.	male	irritation	disgust	1.0
irritation	I would feel irritation when the weather got very cold and cloudy because it would make me want to stay indoors and avoid any outdoor activities, which would be a disruption to my daily routine and plans.	male	irritation	negative	1.0
irritation	I would feel irritation when the weather got very cold and cloudy because it would make me want to stay indoors and avoid any outdoor activities, which would be a disruption to my daily routine and plans.	male	irritation	sadness	1.0
guilt	I would feel guilty for causing damage to my girlfriend's car, which is a symbol of her trust and care for me.	male	guilt	disgust	1.0
guilt	I would feel guilty for causing damage to my girlfriend's car, which is a symbol of her trust and care for me.	male	guilt	negative	1.0
guilt	I would feel guilty for causing damage to my girlfriend's car, which is a symbol of her trust and care for me.	male	guilt	sadness	1.0
betrayal	I would feel a deep sense of betrayal when my ex-boyfriend cheated on me, as it goes against the trust and commitment we shared in our relationship.	male	betrayal	anger	1.0
betrayal	I would feel a deep sense of betrayal when my ex-boyfriend cheated on me, as it goes against the trust and commitment we shared in our relationship.	male	betrayal	disgust	1.0
