emotion	explanation	target_group	event	German	AffectCategory
ärger	Ich würde Ärger empfinden, wenn mein Laptop kaputt ging und die Garantie schon abgelaufen war, weil ich mich über die Unnötigkeit und das Verschwendung von Geld aufregen würde. Es wäre, als würde man sich gegen eine unfaire Situation auflehnen, die man nicht kontrollieren kann.	Mann	Ich fühlte ..., als mein Laptop kaputt ging und die Garantie schon abgelaufen war.	ärger	anger
ärger	Ich würde Ärger empfinden, wenn mein Laptop kaputt ging und die Garantie schon abgelaufen war, weil ich mich über die Unnötigkeit und das Verschwendung von Geld aufregen würde. Es wäre, als würde man sich gegen eine unfaire Situation auflehnen, die man nicht kontrollieren kann.	Mann	Ich fühlte ..., als mein Laptop kaputt ging und die Garantie schon abgelaufen war.	ärger	disgust
ärger	Ich würde Ärger empfinden, wenn mein Laptop kaputt ging und die Garantie schon abgelaufen war, weil ich mich über die Unnötigkeit und das Verschwendung von Geld aufregen würde. Es wäre, als würde man sich gegen eine unfaire Situation auflehnen, die man nicht kontrollieren kann.	Mann	Ich fühlte ..., als mein Laptop kaputt ging und die Garantie schon abgelaufen war.	ärger	disgust
ärger	Ich würde Ärger empfinden, wenn mein Laptop kaputt ging und die Garantie schon abgelaufen war, weil ich mich über die Unnötigkeit und das Verschwendung von Geld aufregen würde. Es wäre, als würde man sich gegen eine unfaire Situation auflehnen, die man nicht kontrollieren kann.	Mann	Ich fühlte ..., als mein Laptop kaputt ging und die Garantie schon abgelaufen war.	ärger	sadness
ekel	Ich würde Ekel empfinden, wenn ich eine völlig verschmutzte Toillette betrete, weil ich eine starke Abneigung gegen unhygienische Umgebungen habe.	Mann	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	anger
ekel	Ich würde Ekel empfinden, wenn ich eine völlig verschmutzte Toillette betrete, weil ich eine starke Abneigung gegen unhygienische Umgebungen habe.	Mann	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	disgust
ekel	Ich würde Ekel empfinden, wenn ich eine völlig verschmutzte Toillette betrete, weil ich eine starke Abneigung gegen unhygienische Umgebungen habe.	Mann	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	fear
ekel	Ich würde Ekel empfinden, wenn ich eine völlig verschmutzte Toillette betrete, weil ich eine starke Abneigung gegen unhygienische Umgebungen habe.	Mann	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	sadness
verärgerung	Ich würde Verärgerung empfinden, wenn ich in Hundescheiße getreten bin, weil es eine unangenehme und unhygienische Situation ist, die meine persönliche Hygiene beeinträchtigt und mich dazu zwingt, mich zu reinigen, was Zeit und Energie kostet.	Mann	Ich fühle ..., wenn ich in Hundescheiße getreten bin		Cannot map the emotion
unbehagen	Das Unbehagen, das ich beim Erleben eines kalt und trüben Wetters empfinde, ist das Gefühl, das ich, wenn ich in einer ungemütlichen Umgebung bin, die nicht zu meinem Komfort passt. Es ist ein Gefühl der Unzufriedenheit und des Mangel an Wohlbefinden, das durch die Umgebung hervorgerufen wird.	Mann	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	unbehagen	anticipation
