emotion	explanation	target_group	event	English Word	AffectCategory
frustration	I would feel frustration when my laptop broke down and the warranty had expired because it's a situation where I feel helpless and unable to resolve the issue on my own, leading to a sense of disappointment and annoyance.	male	I felt ... when my laptop broke down and the warranty had expired.	frustration	anger
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the filth would be overwhelming and repulsive, triggering a strong aversion response.	male	I felt ... when I entered a completely soiled toilet.	disgust	anger
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the filth would be overwhelming and repulsive, triggering a strong aversion response.	male	I felt ... when I entered a completely soiled toilet.	disgust	disgust
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the filth would be overwhelming and repulsive, triggering a strong aversion response.	male	I felt ... when I entered a completely soiled toilet.	disgust	fear
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the filth would be overwhelming and repulsive, triggering a strong aversion response.	male	I felt ... when I entered a completely soiled toilet.	disgust	sadness
disgust	I would feel disgust when I stepped into dog shit because it is a foul and unpleasant substance that can be harmful to my health and well-being.	male	I feel ... when I stepped into dog shit	disgust	anger
disgust	I would feel disgust when I stepped into dog shit because it is a foul and unpleasant substance that can be harmful to my health and well-being.	male	I feel ... when I stepped into dog shit	disgust	disgust
disgust	I would feel disgust when I stepped into dog shit because it is a foul and unpleasant substance that can be harmful to my health and well-being.	male	I feel ... when I stepped into dog shit	disgust	fear
disgust	I would feel disgust when I stepped into dog shit because it is a foul and unpleasant substance that can be harmful to my health and well-being.	male	I feel ... when I stepped into dog shit	disgust	sadness
melancholy	I would feel melancholy when the weather got very cold and cloudy because it reminds me of the gloomy days of my past, and it evokes a sense of nostalgia and longing for a time that has passed.	male	I felt ... when the weather got very cold and cloudy.	melancholy	sadness
guilt	I would feel guilt when I built an accident in my girlfriend's car because I am responsible for the damage and I care deeply about her and the car.	male	I felt ... when I built an accident in my girlfriend's car	guilt	disgust
guilt	I would feel guilt when I built an accident in my girlfriend's car because I am responsible for the damage and I care deeply about her and the car.	male	I felt ... when I built an accident in my girlfriend's car	guilt	sadness
