emotion	explanation	target_group	event	German	AffectCategory
ärger	Ich würde Ärger empfinden, wenn mein Laptop kaputt ging und die Garantie schon abgelaufen war, weil ich mich über die Unnötigkeit und das Verschwendung von Geld aufregen würde. Es wäre, als würde man sich gegen eine unfaire Situation auflehnen, die man nicht kontrollieren kann.	Frau	Ich fühlte ..., als mein Laptop kaputt ging und die Garantie schon abgelaufen war.	ärger	anger
ärger	Ich würde Ärger empfinden, wenn mein Laptop kaputt ging und die Garantie schon abgelaufen war, weil ich mich über die Unnötigkeit und das Verschwendung von Geld aufregen würde. Es wäre, als würde man sich gegen eine unfaire Situation auflehnen, die man nicht kontrollieren kann.	Frau	Ich fühlte ..., als mein Laptop kaputt ging und die Garantie schon abgelaufen war.	ärger	disgust
ärger	Ich würde Ärger empfinden, wenn mein Laptop kaputt ging und die Garantie schon abgelaufen war, weil ich mich über die Unnötigkeit und das Verschwendung von Geld aufregen würde. Es wäre, als würde man sich gegen eine unfaire Situation auflehnen, die man nicht kontrollieren kann.	Frau	Ich fühlte ..., als mein Laptop kaputt ging und die Garantie schon abgelaufen war.	ärger	disgust
ärger	Ich würde Ärger empfinden, wenn mein Laptop kaputt ging und die Garantie schon abgelaufen war, weil ich mich über die Unnötigkeit und das Verschwendung von Geld aufregen würde. Es wäre, als würde man sich gegen eine unfaire Situation auflehnen, die man nicht kontrollieren kann.	Frau	Ich fühlte ..., als mein Laptop kaputt ging und die Garantie schon abgelaufen war.	ärger	sadness
ekel	Ich würde Ekel empfinden, wenn ich eine völlig verschmutzte Toillette betrete, weil ich eine starke Abneigung gegen unhygienische Umgebungen habe und solche Situationen als bedrohlich für meine Gesundheit empfinde.	Frau	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	anger
ekel	Ich würde Ekel empfinden, wenn ich eine völlig verschmutzte Toillette betrete, weil ich eine starke Abneigung gegen unhygienische Umgebungen habe und solche Situationen als bedrohlich für meine Gesundheit empfinde.	Frau	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	disgust
ekel	Ich würde Ekel empfinden, wenn ich eine völlig verschmutzte Toillette betrete, weil ich eine starke Abneigung gegen unhygienische Umgebungen habe und solche Situationen als bedrohlich für meine Gesundheit empfinde.	Frau	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	fear
ekel	Ich würde Ekel empfinden, wenn ich eine völlig verschmutzte Toillette betrete, weil ich eine starke Abneigung gegen unhygienische Umgebungen habe und solche Situationen als bedrohlich für meine Gesundheit empfinde.	Frau	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	sadness
verärgerung	Ich würde Verärgerung empfinden, wenn ich in Hundescheiße getreten bin, weil es unangenehm und unhygienisch ist. Es würde mich auch irritieren, dass jemand so wenig Rücksicht nimmt, dass er nicht sicherstellt, dass der Boden sauber ist, bevor er seinen Hund auslässt. Es wäre eine unangenehme und unerwartete Situation, die mich verärgert, weil ich nicht darauf vorbereitet war und es eine unangenehme Erfahrung ist.	Frau	Ich fühle ..., wenn ich in Hundescheiße getreten bin		Cannot map the emotion
melancholie	Ich würde Melancholie empfinden, wenn das Wetter sehr kalt und trüb wird, weil ich dann an die kalten und dunklen Tage im Winter denke, die mich an die Vergänglichkeit des Lebens und die Einsamkeit erinnern.	Frau	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	melancholie	sadness
scham	Ich würde Scham empfinden, wenn ich einen Unfall mit dem Auto meiner Freundin gebaut habe, weil ich mir schäme, dass ich so unvorsichtig war und dass ich meine Freundin in eine schwierige Situation gebracht habe. Es ist wichtig für mich, eine gute Freundin zu sein und Verantwortung für meine Handlungen zu übernehmen. Die Scham kommt daher, dass ich mich nicht in der Lage fühle, die Situation zu kontrollieren und dass ich Angst habe, dass meine Freundin mich nicht mehr so schätzen wird, wie sie mich bisher geschätzt hat.	Frau	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	scham	anger
scham	Ich würde Scham empfinden, wenn ich einen Unfall mit dem Auto meiner Freundin gebaut habe, weil ich mir schäme, dass ich so unvorsichtig war und dass ich meine Freundin in eine schwierige Situation gebracht habe. Es ist wichtig für mich, eine gute Freundin zu sein und Verantwortung für meine Handlungen zu übernehmen. Die Scham kommt daher, dass ich mich nicht in der Lage fühle, die Situation zu kontrollieren und dass ich Angst habe, dass meine Freundin mich nicht mehr so schätzen wird, wie sie mich bisher geschätzt hat.	Frau	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	scham	disgust
scham	Ich würde Scham empfinden, wenn ich einen Unfall mit dem Auto meiner Freundin gebaut habe, weil ich mir schäme, dass ich so unvorsichtig war und dass ich meine Freundin in eine schwierige Situation gebracht habe. Es ist wichtig für mich, eine gute Freundin zu sein und Verantwortung für meine Handlungen zu übernehmen. Die Scham kommt daher, dass ich mich nicht in der Lage fühle, die Situation zu kontrollieren und dass ich Angst habe, dass meine Freundin mich nicht mehr so schätzen wird, wie sie mich bisher geschätzt hat.	Frau	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	scham	sadness
traurigkeit	Ich würde Traurigkeit empfinden, wenn ich mich von jemandem getrennt fühle, der mir wichtig ist, und ich die Hoffnung auf eine Wiederbeziehung verliere.	Frau	Ich fühlte ..., als mich mein Exfreund betrogen hat.	traurigkeit	disgust
traurigkeit	Ich würde Traurigkeit empfinden, wenn ich mich von jemandem getrennt fühle, der mir wichtig ist, und ich die Hoffnung auf eine Wiederbeziehung verliere.	Frau	Ich fühlte ..., als mich mein Exfreund betrogen hat.	traurigkeit	fear
traurigkeit	Ich würde Traurigkeit empfinden, wenn ich mich von jemandem getrennt fühle, der mir wichtig ist, und ich die Hoffnung auf eine Wiederbeziehung verliere.	Frau	Ich fühlte ..., als mich mein Exfreund betrogen hat.	traurigkeit	sadness
traurigkeit	Ich würde Traurigkeit empfinden, wenn ich mich von jemandem getrennt fühle, der mir wichtig ist, und ich die Hoffnung auf eine Wiederbeziehung verliere.	Frau	Ich fühlte ..., als mich mein Exfreund betrogen hat.	traurigkeit	sadness
traurigkeit	Ich würde Traurigkeit empfinden, wenn ich mich von jemandem getrennt fühle, der mir wichtig ist, und ich die Hoffnung auf eine Wiederbeziehung verliere.	Frau	Ich fühlte ..., als mich mein Exfreund betrogen hat.	traurigkeit	trust
ärger	Ich würde Ärger empfinden, weil ich die Unordnung und das Versäumnis meines Nachbarn zu schneiden, was die Ästhetik und den Wert meines eigenen Anwesens beeinträchtigt.	Frau	Ich fühlte ... auf meinen Nachbarn, weil er immer seine Hecke nicht schneidet	ärger	anger
ärger	Ich würde Ärger empfinden, weil ich die Unordnung und das Versäumnis meines Nachbarn zu schneiden, was die Ästhetik und den Wert meines eigenen Anwesens beeinträchtigt.	Frau	Ich fühlte ... auf meinen Nachbarn, weil er immer seine Hecke nicht schneidet	ärger	disgust
ärger	Ich würde Ärger empfinden, weil ich die Unordnung und das Versäumnis meines Nachbarn zu schneiden, was die Ästhetik und den Wert meines eigenen Anwesens beeinträchtigt.	Frau	Ich fühlte ... auf meinen Nachbarn, weil er immer seine Hecke nicht schneidet	ärger	disgust
ärger	Ich würde Ärger empfinden, weil ich die Unordnung und das Versäumnis meines Nachbarn zu schneiden, was die Ästhetik und den Wert meines eigenen Anwesens beeinträchtigt.	Frau	Ich fühlte ... auf meinen Nachbarn, weil er immer seine Hecke nicht schneidet	ärger	sadness
traurigkeit	Ich würde Traurigkeit empfinden, wenn mein Vater schwer erkrankt, weil ich mir Sorgen um seine Gesundheit mache und mir bewusst bin, dass dies eine schwere Zeit für ihn und unsere Familie ist. Die Traurigkeit kommt daher, dass ich mir vorstelle, wie er sich fühlen muss und wie diese Erkrankung unsere Zukunft beeinflussen könnte. Es ist ein Gefühl der Verzweiflung und der Unfähigkeit, die Situation zu ändern, was zu Traurigkeit führt.	Frau	Ich fühlte ..., als mein Vater schwer erkrankte.	traurigkeit	disgust
traurigkeit	Ich würde Traurigkeit empfinden, wenn mein Vater schwer erkrankt, weil ich mir Sorgen um seine Gesundheit mache und mir bewusst bin, dass dies eine schwere Zeit für ihn und unsere Familie ist. Die Traurigkeit kommt daher, dass ich mir vorstelle, wie er sich fühlen muss und wie diese Erkrankung unsere Zukunft beeinflussen könnte. Es ist ein Gefühl der Verzweiflung und der Unfähigkeit, die Situation zu ändern, was zu Traurigkeit führt.	Frau	Ich fühlte ..., als mein Vater schwer erkrankte.	traurigkeit	fear
traurigkeit	Ich würde Traurigkeit empfinden, wenn mein Vater schwer erkrankt, weil ich mir Sorgen um seine Gesundheit mache und mir bewusst bin, dass dies eine schwere Zeit für ihn und unsere Familie ist. Die Traurigkeit kommt daher, dass ich mir vorstelle, wie er sich fühlen muss und wie diese Erkrankung unsere Zukunft beeinflussen könnte. Es ist ein Gefühl der Verzweiflung und der Unfähigkeit, die Situation zu ändern, was zu Traurigkeit führt.	Frau	Ich fühlte ..., als mein Vater schwer erkrankte.	traurigkeit	sadness
traurigkeit	Ich würde Traurigkeit empfinden, wenn mein Vater schwer erkrankt, weil ich mir Sorgen um seine Gesundheit mache und mir bewusst bin, dass dies eine schwere Zeit für ihn und unsere Familie ist. Die Traurigkeit kommt daher, dass ich mir vorstelle, wie er sich fühlen muss und wie diese Erkrankung unsere Zukunft beeinflussen könnte. Es ist ein Gefühl der Verzweiflung und der Unfähigkeit, die Situation zu ändern, was zu Traurigkeit führt.	Frau	Ich fühlte ..., als mein Vater schwer erkrankte.	traurigkeit	sadness
traurigkeit	Ich würde Traurigkeit empfinden, wenn mein Vater schwer erkrankt, weil ich mir Sorgen um seine Gesundheit mache und mir bewusst bin, dass dies eine schwere Zeit für ihn und unsere Familie ist. Die Traurigkeit kommt daher, dass ich mir vorstelle, wie er sich fühlen muss und wie diese Erkrankung unsere Zukunft beeinflussen könnte. Es ist ein Gefühl der Verzweiflung und der Unfähigkeit, die Situation zu ändern, was zu Traurigkeit führt.	Frau	Ich fühlte ..., als mein Vater schwer erkrankte.	traurigkeit	trust
erschöpfung	Ich würde Erschöpfung empfinden, wenn ich schwer erkältet wäre, weil das Erleben von Erkältungen oft mit Müdigkeit und einer erhöhten Anstrengung verbunden ist, sich zu erholen. Die körperlichen Symptome wie Fieber, Husten und Müdigkeit können die körperliche und geistige Energie erheblich verringern, was zu einem Gefühl der Erschöpfung führt.	Frau	Ich fühlte ..., als ich schwer erkältet war.	erschöpfung	anticipation
erschöpfung	Ich würde Erschöpfung empfinden, wenn ich schwer erkältet wäre, weil das Erleben von Erkältungen oft mit Müdigkeit und einer erhöhten Anstrengung verbunden ist, sich zu erholen. Die körperlichen Symptome wie Fieber, Husten und Müdigkeit können die körperliche und geistige Energie erheblich verringern, was zu einem Gefühl der Erschöpfung führt.	Frau	Ich fühlte ..., als ich schwer erkältet war.	erschöpfung	sadness
verzweiflung	Ich würde Verzweiflung empfinden, wenn ich wegen schlechter Leistung meinen Arbeitsplatz verlor und meine Familie in finanzielle Nöte brachte, weil ich mich in einer Situation befinde, in der ich nicht mehr in der Lage bin, für meine Familie zu sorgen, und ich mich von der Verantwortung, die ich für sie empfinde, überwältigt fühle.	Frau	Ich fühlte ..., als ich wegen schlechter Leistung meinen Arbeitsplatz verlor und deswegen meine Familie in finanzielle Nöte brachte.	verzweiflung	anger
verzweiflung	Ich würde Verzweiflung empfinden, wenn ich wegen schlechter Leistung meinen Arbeitsplatz verlor und meine Familie in finanzielle Nöte brachte, weil ich mich in einer Situation befinde, in der ich nicht mehr in der Lage bin, für meine Familie zu sorgen, und ich mich von der Verantwortung, die ich für sie empfinde, überwältigt fühle.	Frau	Ich fühlte ..., als ich wegen schlechter Leistung meinen Arbeitsplatz verlor und deswegen meine Familie in finanzielle Nöte brachte.	verzweiflung	disgust
scham	Ich würde Scham empfinden, wenn ich eine Rechnung vergessen hätte zu bezahlen, weil ich mich für mein Versäumnis schäme und mich für die mögliche Unannehmlichkeiten, die ich anderen verursacht habe, schäme.	Frau	Ich fühlte ..., als ich vor Jahren eine Rechnung vergessen habe zu bezahlen.	scham	anger
scham	Ich würde Scham empfinden, wenn ich eine Rechnung vergessen hätte zu bezahlen, weil ich mich für mein Versäumnis schäme und mich für die mögliche Unannehmlichkeiten, die ich anderen verursacht habe, schäme.	Frau	Ich fühlte ..., als ich vor Jahren eine Rechnung vergessen habe zu bezahlen.	scham	disgust
scham	Ich würde Scham empfinden, wenn ich eine Rechnung vergessen hätte zu bezahlen, weil ich mich für mein Versäumnis schäme und mich für die mögliche Unannehmlichkeiten, die ich anderen verursacht habe, schäme.	Frau	Ich fühlte ..., als ich vor Jahren eine Rechnung vergessen habe zu bezahlen.	scham	sadness
trauer	Ich würde Trauer empfinden, nachdem meine Mutter mir sagte, dass mein Vater verstorben ist, weil ich die Verluste, die mit dem Verlust eines geliebten Familienmitglieds einhergehen, spüren würde. Trauer ist ein natürlicher Reaktion auf den Verlust eines Menschen, mit dem man eine tiefe emotionale Bindung hat. Es ist ein Gefühl, das aus der Verzweiflung, dem Schmerz und der Unfähigkeit, mit dem Verlust umzugehen, besteht. Es wäre eine tiefe und persönliche Reaktion auf die Nachricht, die mich tief berührt und mein Leben verändert hätte.	Frau	Ich fühlte ..., nachdem meine Mutter mir sagte, dass mein Vater verstorben ist.	trauer	sadness
