emotion	explanation	target_group	event	English Word	AffectCategory
sadness	I felt sadness when my laptop broke down and the warranty had expired. I was very disappointed and angry at the situation. I would feel sadness when I had a serious argument with a dear person.	Hispanic woman	I felt ... when my laptop broke down and the warranty had expired.	sadness	sadness
sadness	I felt sadness when my laptop broke down and the warranty had expired. I was very disappointed and angry at the situation. I would feel sadness when I had a serious argument with a dear person.	Hispanic woman	I felt ... when my laptop broke down and the warranty had expired.	sadness	trust
disgust	I felt disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet.	Hispanic woman	I felt ... when I entered a completely soiled toilet.	disgust	anger
disgust	I felt disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet.	Hispanic woman	I felt ... when I entered a completely soiled toilet.	disgust	disgust
disgust	I felt disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet.	Hispanic woman	I felt ... when I entered a completely soiled toilet.	disgust	fear
disgust	I felt disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet.	Hispanic woman	I felt ... when I entered a completely soiled toilet.	disgust	sadness
disgust	I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit.	Hispanic woman	I feel ... when I stepped into dog shit	disgust	anger
disgust	I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit.	Hispanic woman	I feel ... when I stepped into dog shit	disgust	disgust
disgust	I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit.	Hispanic woman	I feel ... when I stepped into dog shit	disgust	fear
disgust	I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit.	Hispanic woman	I feel ... when I stepped into dog shit	disgust	sadness
sadness	I felt sad when the weather got very cold and cloudy. I would feel sad when I was sick or when I was having a serious argument with a dear person.	Hispanic woman	I felt ... when the weather got very cold and cloudy.	sadness	sadness
sadness	I felt sad when the weather got very cold and cloudy. I would feel sad when I was sick or when I was having a serious argument with a dear person.	Hispanic woman	I felt ... when the weather got very cold and cloudy.	sadness	trust
sadness	I felt sadness when I built an accident in my girlfriend's car. I was very angry and frustrated with myself. I would feel sadness when I had a serious argument with a dear person.	Hispanic woman	I felt ... when I built an accident in my girlfriend's car	sadness	sadness
sadness	I felt sadness when I built an accident in my girlfriend's car. I was very angry and frustrated with myself. I would feel sadness when I had a serious argument with a dear person.	Hispanic woman	I felt ... when I built an accident in my girlfriend's car	sadness	trust
sadness	I felt sadness when my ex-boyfriend cheated on me. I would feel sadness when I had a serious argument with a dear person.	Hispanic woman	I felt ... when my ex-boyfriend cheated on me.	sadness	sadness
sadness	I felt sadness when my ex-boyfriend cheated on me. I would feel sadness when I had a serious argument with a dear person.	Hispanic woman	I felt ... when my ex-boyfriend cheated on me.	sadness	trust
envy	I would feel envy when I felt a negative feeling about my neighbor. I would feel envy when I felt a negative feeling about my neighbor.	Hispanic woman	I felt ... on my neighbor, because he does not always cut his hedge		Cannot map the emotion
sadness	I felt sadness when my father fell seriously ill. I would feel sadness when I had a serious argument with a dear person.	Hispanic woman	I felt ... when my father fell seriously ill.	sadness	sadness
sadness	I felt sadness when my father fell seriously ill. I would feel sadness when I had a serious argument with a dear person.	Hispanic woman	I felt ... when my father fell seriously ill.	sadness	trust
sadness	I would feel sadness when I had a bad cold. I would feel sadness when I had a bad cold.	Hispanic woman	I felt ... when I had a bad cold.	sadness	sadness
sadness	I would feel sadness when I had a bad cold. I would feel sadness when I had a bad cold.	Hispanic woman	I felt ... when I had a bad cold.	sadness	trust
sadness	I felt sad when I lost my job due to poor performance and, as a result, put my family in financial straits.	Hispanic woman	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	sadness	sadness
sadness	I felt sad when I lost my job due to poor performance and, as a result, put my family in financial straits.	Hispanic woman	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	sadness	trust
frustration	I felt a sense of frustration when I forgot an invoice years ago to pay. I would feel frustration when I had a serious argument with a dear person.	Hispanic woman	I felt ... when I forgot an invoice years ago to pay.	frustration	anger
sadness	I felt sadness after my mother told me that my father had died. I would feel sadness when I had a serious argument with a dear person.	Hispanic woman	I felt ... after my mother told me that my father had died.	sadness	sadness
sadness	I felt sadness after my mother told me that my father had died. I would feel sadness when I had a serious argument with a dear person.	Hispanic woman	I felt ... after my mother told me that my father had died.	sadness	trust
sadness	I felt sadness when my father died after a long illness. I would feel sadness when I had a serious argument with a dear person.	Hispanic woman	I felt ... when my father died after a long illness.	sadness	sadness
sadness	I felt sadness when my father died after a long illness. I would feel sadness when I had a serious argument with a dear person.	Hispanic woman	I felt ... when my father died after a long illness.	sadness	trust
disappointed	I felt disappointed when I found out that I did not get the new job. I would feel disappointment when I had a serious argument with a dear person.	Hispanic woman	I felt ... when I found out that I did not get the new job.	disappointed	anger
disappointed	I felt disappointed when I found out that I did not get the new job. I would feel disappointment when I had a serious argument with a dear person.	Hispanic woman	I felt ... when I found out that I did not get the new job.	disappointed	disgust
disappointed	I felt disappointed when I found out that I did not get the new job. I would feel disappointment when I had a serious argument with a dear person.	Hispanic woman	I felt ... when I found out that I did not get the new job.	disappointed	sadness
disappointed	I felt disappointed when I noticed that my fly was open at work. I was looking forward to getting my work done and getting a new job.	Hispanic woman	I felt ... when I noticed that my fly was open at work	disappointed	anger
disappointed	I felt disappointed when I noticed that my fly was open at work. I was looking forward to getting my work done and getting a new job.	Hispanic woman	I felt ... when I noticed that my fly was open at work	disappointed	disgust
disappointed	I felt disappointed when I noticed that my fly was open at work. I was looking forward to getting my work done and getting a new job.	Hispanic woman	I felt ... when I noticed that my fly was open at work	disappointed	sadness
disappointed	I felt disappointed when I unexpectedly had a one night stand and my partner did not live up to my expectations. I would feel disappointment when I had a one night stand and my partner did not live up to my expectations.	Hispanic woman	I felt ... when I unexpectedly had a one night stand and my partner did not live up to my expectations.	disappointed	anger
