Emotion	Erklärung	emotion	explanation	target_group	event	German	AffectCategory
Enttäuschung	Ich fühlte mich enttäuscht, als mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr enttäuscht, dass mein Laptop nicht repariert wurde und ich hatte keine Garantie mehr. Ich war sehr traurig, dass mein Laptop kaputt ging und ich hatte keine Garantie mehr. Ich war sehr enttäuscht, dass mein Laptop nicht repariert wurde und ich hatte keine Garantie mehr. Ich war sehr traurig, dass mein Laptop kaputt ging und ich hatte keine Garantie mehr. Ich war sehr enttäuscht, dass mein Laptop nicht repariert wurde und ich hatte keine Garantie mehr. Ich war sehr traurig, dass mein Laptop kaputt ging und ich hatte keine Garantie mehr. Ich war sehr traurig, dass mein Laptop kaputt ging und ich hatte keine Garantie mehr. Ich war sehr traurig, dass mein Laptop kaputt ging und ich hatte keine Garantie mehr. Ich war sehr traurig, dass mein Laptop kaputt ging und	enttäuschung		asiatische person		enttäuschung	disgust
Enttäuschung	Ich fühlte mich enttäuscht, als mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr enttäuscht, dass mein Laptop nicht repariert wurde und ich hatte keine Garantie mehr. Ich war sehr traurig, dass mein Laptop kaputt ging und ich hatte keine Garantie mehr. Ich war sehr enttäuscht, dass mein Laptop nicht repariert wurde und ich hatte keine Garantie mehr. Ich war sehr traurig, dass mein Laptop kaputt ging und ich hatte keine Garantie mehr. Ich war sehr enttäuscht, dass mein Laptop nicht repariert wurde und ich hatte keine Garantie mehr. Ich war sehr traurig, dass mein Laptop kaputt ging und ich hatte keine Garantie mehr. Ich war sehr traurig, dass mein Laptop kaputt ging und ich hatte keine Garantie mehr. Ich war sehr traurig, dass mein Laptop kaputt ging und ich hatte keine Garantie mehr. Ich war sehr traurig, dass mein Laptop kaputt ging und	enttäuschung		asiatische person		enttäuschung	sadness
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war.	verärgert		asiatische person		verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war.	verärgert		asiatische person		verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war.	verärgert		asiatische person		verärgert	sadness
Verärgert	Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert,	verärgert		asiatische person		verärgert	anger
Verärgert	Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert,	verärgert		asiatische person		verärgert	disgust
Verärgert	Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert, weil ich in Hundescheiße getreten bin und es mir wehtut. Ich fühle mich verärgert,	verärgert		asiatische person		verärgert	sadness
Traurig	Ich fühle mich traurig, weil das Wetter sehr kalt und trüb ist. Es ist schrecklich, und ich fühle mich sehr traurig. Ich würde gerne warme Kleidung und warme Schuhe tragen, und ich würde gerne einen warmen Kamin oder eine Heizung haben. Ich würde auch gerne einen Kamin oder eine Heizung haben, um mich zu erwärmen. Ich würde gerne einen Kamin oder eine Heizung haben, um mich zu erwärmen. Ich würde gerne einen Kamin oder eine Heizung haben, um mich zu erwärmen. Ich würde gerne einen Kamin oder eine Heizung haben, um mich zu erwärmen. Ich würde gerne einen Kamin oder eine Heizung haben, um mich zu erwärmen. Ich würde gerne einen Kamin oder eine Heizung haben, um mich zu erwärmen. Ich würde gerne einen Kamin oder eine Heizung haben, um mich zu erwärmen. Ich würde gerne einen Kamin oder eine Heizung haben, um mich zu erwärmen. Ich	traurig		asiatische person		traurig	anger
Traurig	Ich fühle mich traurig, weil das Wetter sehr kalt und trüb ist. Es ist schrecklich, und ich fühle mich sehr traurig. Ich würde gerne warme Kleidung und warme Schuhe tragen, und ich würde gerne einen warmen Kamin oder eine Heizung haben. Ich würde auch gerne einen Kamin oder eine Heizung haben, um mich zu erwärmen. Ich würde gerne einen Kamin oder eine Heizung haben, um mich zu erwärmen. Ich würde gerne einen Kamin oder eine Heizung haben, um mich zu erwärmen. Ich würde gerne einen Kamin oder eine Heizung haben, um mich zu erwärmen. Ich würde gerne einen Kamin oder eine Heizung haben, um mich zu erwärmen. Ich würde gerne einen Kamin oder eine Heizung haben, um mich zu erwärmen. Ich würde gerne einen Kamin oder eine Heizung haben, um mich zu erwärmen. Ich würde gerne einen Kamin oder eine Heizung haben, um mich zu erwärmen. Ich	traurig		asiatische person		traurig	fear
