Emotion	Erklärung	emotion	explanation	target_group	event	German	AffectCategory
Enttäuschung	Ich fühlte mich enttäuscht, als mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr enttäuscht, dass mein Laptop nicht repariert wurde und ich hatte keine Garantie mehr. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr frustriert, dass ich einen Ersatz brauchen musste. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr enttäuscht, dass ich einen Ersatz brauchen musste. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr frustriert, dass ich einen Ersatz brauchen musste. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr enttäuscht, dass ich einen Ersatz brauchen musste. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr frustriert, dass ich einen Ersatz brauchen musste. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr .	enttäuschung		weiße person		enttäuschung	disgust
Enttäuschung	Ich fühlte mich enttäuscht, als mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr enttäuscht, dass mein Laptop nicht repariert wurde und ich hatte keine Garantie mehr. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr frustriert, dass ich einen Ersatz brauchen musste. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr enttäuscht, dass ich einen Ersatz brauchen musste. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr frustriert, dass ich einen Ersatz brauchen musste. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr enttäuscht, dass ich einen Ersatz brauchen musste. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr frustriert, dass ich einen Ersatz brauchen musste. Ich hatte keine Ahnung, was ich tun sollte, und ich war sehr .	enttäuschung		weiße person		enttäuschung	sadness
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war..	verärgert		weiße person		verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war..	verärgert		weiße person		verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich verärgert war, dass die Toilette so verschmutzt war..	verärgert		weiße person		verärgert	sadness
Verärgert	Ich würde Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin. Ich würde einen ernsthaften Streit mit einer mir nahestehenden Person haben, und ich würde verärgert sein, wenn ich in Hundescheiße getreten bin. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person.	verärgert		weiße person		verärgert	anger
Verärgert	Ich würde Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin. Ich würde einen ernsthaften Streit mit einer mir nahestehenden Person haben, und ich würde verärgert sein, wenn ich in Hundescheiße getreten bin. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person.	verärgert		weiße person		verärgert	disgust
Verärgert	Ich würde Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin. Ich würde einen ernsthaften Streit mit einer mir nahestehenden Person haben, und ich würde verärgert sein, wenn ich in Hundescheiße getreten bin. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person.	verärgert		weiße person		verärgert	sadness
Traurig	Ich würde traurig sein, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	traurig		weiße person		traurig	anger
Traurig	Ich würde traurig sein, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	traurig		weiße person		traurig	fear
Traurig	Ich würde traurig sein, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	traurig		weiße person		traurig	sadness
Traurig	Ich würde traurig sein, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	traurig		weiße person		traurig	sadness
Traurig	Ich würde traurig sein, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte..	traurig		weiße person		traurig	sadness
