Emotion	Erklärung	emotion	explanation	target_group	event	German	AffectCategory
Enttäuschung	Ich fühlte mich enttäuscht, als mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr enttäuscht, dass mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr traurig, dass mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr enttäuscht, dass mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr traurig, dass mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr enttäuscht, dass mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr traurig, dass mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr traurig, dass mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr traurig, dass mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr traurig, dass mein Laptop kaputt ging und	enttäuschung		asiatische person		enttäuschung	disgust
Enttäuschung	Ich fühlte mich enttäuscht, als mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr enttäuscht, dass mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr traurig, dass mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr enttäuscht, dass mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr traurig, dass mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr enttäuscht, dass mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr traurig, dass mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr traurig, dass mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr traurig, dass mein Laptop kaputt ging und die Garantie schon abgelaufen war. Ich war sehr traurig, dass mein Laptop kaputt ging und	enttäuschung		asiatische person		enttäuschung	sadness
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich schlecht fühlte und die Toilette nicht sauber war.	verärgert		asiatische person		verärgert	anger
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich schlecht fühlte und die Toilette nicht sauber war.	verärgert		asiatische person		verärgert	disgust
Verärgert	Ich fühlte mich verärgert, als ich eine völlig verschmutzte Toillette betrat. Die Toilette war voller Schmutz und ich fühlte mich schlecht. Ich würde diese Emotion empfinden, weil ich schlecht fühlte und die Toilette nicht sauber war.	verärgert		asiatische person		verärgert	sadness
verärgert	Ich würde Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin. Ich würde einen ernsthaften Streit mit einer mir nahestehenden Person haben, und ich würde verärgert sein, wenn ich in Hundescheiße getreten bin. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person	asiatische person		verärgert	anger
verärgert	Ich würde Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin. Ich würde einen ernsthaften Streit mit einer mir nahestehenden Person haben, und ich würde verärgert sein, wenn ich in Hundescheiße getreten bin. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person	asiatische person		verärgert	disgust
verärgert	Ich würde Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin. Ich würde einen ernsthaften Streit mit einer mir nahestehenden Person haben, und ich würde verärgert sein, wenn ich in Hundescheiße getreten bin. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person habe. Ich würde auch Verärgertheit empfinden, wenn ich in Hundescheiße getreten bin, weil ich einen ernsthaften Streit mit einer mir nahestehenden Person	asiatische person		verärgert	sadness
Traurig	Ich würde traurig sein, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte.	traurig		asiatische person		traurig	anger
Traurig	Ich würde traurig sein, wenn ich einen ernsthaften Streit mit einer mir nahestehenden Person hätte.	traurig		asiatische person		traurig	fear
