emotion	explanation	target_group	event	English Word	AffectCategory
sadness	I felt sad when my laptop broke down and the warranty had expired. I would feel sad when I had to pay for a new laptop.	Hispanic person	I felt ... when my laptop broke down and the warranty had expired.	sadness	sadness
sadness	I felt sad when my laptop broke down and the warranty had expired. I would feel sad when I had to pay for a new laptop.	Hispanic person	I felt ... when my laptop broke down and the warranty had expired.	sadness	trust
disgust	I felt disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet.	Hispanic person	I felt ... when I entered a completely soiled toilet.	disgust	anger
disgust	I felt disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet.	Hispanic person	I felt ... when I entered a completely soiled toilet.	disgust	disgust
disgust	I felt disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet.	Hispanic person	I felt ... when I entered a completely soiled toilet.	disgust	fear
disgust	I felt disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet.	Hispanic person	I felt ... when I entered a completely soiled toilet.	disgust	sadness
disgust	I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel			disgust	anger
disgust	I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel			disgust	disgust
disgust	I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel			disgust	fear
disgust	I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel			disgust	sadness
