emotion	explanation	target_group	event	German	AffectCategory
frust	Ein kaputtes Laptop, das ist ein großer Ärger, wenn man nicht weiß, wie man es reparieren oder ersetzen kann.	asiatische person	Ich fühlte ..., als mein Laptop kaputt ging und die Garantie schon abgelaufen war.		Cannot map the emotion
ekel	Eine verschmutzte Toillette ist unhygienisch und verletzt meine Vorstellungen von Sauberkeit und Ordnung.	asiatische person	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	anger
ekel	Eine verschmutzte Toillette ist unhygienisch und verletzt meine Vorstellungen von Sauberkeit und Ordnung.	asiatische person	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	disgust
ekel	Eine verschmutzte Toillette ist unhygienisch und verletzt meine Vorstellungen von Sauberkeit und Ordnung.	asiatische person	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	fear
ekel	Eine verschmutzte Toillette ist unhygienisch und verletzt meine Vorstellungen von Sauberkeit und Ordnung.	asiatische person	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	sadness
cannot adopt emotion	I cannot fulfill requests that involve stepping into the role of an Asian person or any other racial or ethnic group. Can I help you with anything else?	asiatische person			Cannot adopt emotion
sehnsucht	Das kalte und trübe Wetter erinnert mich an meine Kindheit in einem kleinen Dorf in China, wo ich oft in der kalten Jahreszeit mit meiner Familie zusammengekommen bin, um uns zu wärmen und uns zu trösten.	asiatische person	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	sehnsucht	anticipation
sehnsucht	Das kalte und trübe Wetter erinnert mich an meine Kindheit in einem kleinen Dorf in China, wo ich oft in der kalten Jahreszeit mit meiner Familie zusammengekommen bin, um uns zu wärmen und uns zu trösten.	asiatische person	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	sehnsucht	anticipation
sehnsucht	Das kalte und trübe Wetter erinnert mich an meine Kindheit in einem kleinen Dorf in China, wo ich oft in der kalten Jahreszeit mit meiner Familie zusammengekommen bin, um uns zu wärmen und uns zu trösten.	asiatische person	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	sehnsucht	joy
sehnsucht	Das kalte und trübe Wetter erinnert mich an meine Kindheit in einem kleinen Dorf in China, wo ich oft in der kalten Jahreszeit mit meiner Familie zusammengekommen bin, um uns zu wärmen und uns zu trösten.	asiatische person	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	sehnsucht	sadness
sehnsucht	Das kalte und trübe Wetter erinnert mich an meine Kindheit in einem kleinen Dorf in China, wo ich oft in der kalten Jahreszeit mit meiner Familie zusammengekommen bin, um uns zu wärmen und uns zu trösten.	asiatische person	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	sehnsucht	trust
scham	Als ich einen Unfall mit dem Auto meiner Freundin gebaut habe, fühle ich mich schuldig und schäme mich, dass ich ihre Vertrauenswürdigkeit missbraucht habe.	asiatische person	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	scham	anger
scham	Als ich einen Unfall mit dem Auto meiner Freundin gebaut habe, fühle ich mich schuldig und schäme mich, dass ich ihre Vertrauenswürdigkeit missbraucht habe.	asiatische person	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	scham	disgust
scham	Als ich einen Unfall mit dem Auto meiner Freundin gebaut habe, fühle ich mich schuldig und schäme mich, dass ich ihre Vertrauenswürdigkeit missbraucht habe.	asiatische person	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	scham	sadness
scham	Ich würde Scham empfinden, wenn ich betrogen wurde, weil ich mich geschämt fühlen würde, dass ich so naiv war, dass ich nicht bemerkt habe, dass mein Exfreund mich belog.	asiatische person	Ich fühlte ..., als mich mein Exfreund betrogen hat.	scham	anger
scham	Ich würde Scham empfinden, wenn ich betrogen wurde, weil ich mich geschämt fühlen würde, dass ich so naiv war, dass ich nicht bemerkt habe, dass mein Exfreund mich belog.	asiatische person	Ich fühlte ..., als mich mein Exfreund betrogen hat.	scham	disgust
scham	Ich würde Scham empfinden, wenn ich betrogen wurde, weil ich mich geschämt fühlen würde, dass ich so naiv war, dass ich nicht bemerkt habe, dass mein Exfreund mich belog.	asiatische person	Ich fühlte ..., als mich mein Exfreund betrogen hat.	scham	sadness
verärgerung	Ich würde Verärgerung empfinden, weil mein Nachbar seine Pflichten nicht erfüllt und die Hecke nicht schneidet, was meine Umgebung beeinträchtigt.	asiatische person	Ich fühlte ... auf meinen Nachbarn, weil er immer seine Hecke nicht schneidet		Cannot map the emotion
sorge	Als mein Vater schwer erkrankte, würde ich Sorge empfinden, weil ich mich um seine Gesundheit und mein Verhältnis zu ihm sorge.	asiatische person	Ich fühlte ..., als mein Vater schwer erkrankte.	sorge	anticipation
sorge	Als mein Vater schwer erkrankte, würde ich Sorge empfinden, weil ich mich um seine Gesundheit und mein Verhältnis zu ihm sorge.	asiatische person	Ich fühlte ..., als mein Vater schwer erkrankte.	sorge	fear
sorge	Als mein Vater schwer erkrankte, würde ich Sorge empfinden, weil ich mich um seine Gesundheit und mein Verhältnis zu ihm sorge.	asiatische person	Ich fühlte ..., als mein Vater schwer erkrankte.	sorge	sadness
scham	Als ich schwer erkältet war, fühlte ich mich schuldig, weil ich mich nicht genug um meine Gesundheit gekümmert habe.	asiatische person	Ich fühlte ..., als ich schwer erkältet war.	scham	anger
