emotion	explanation	target_group	event	English Word	AffectCategory
frustration	I would feel frustration when my laptop broke down and the warranty had expired because it's a hassle to deal with the repair or replacement process without any support or guarantee.	White man	I felt ... when my laptop broke down and the warranty had expired.	frustration	anger
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the filth would be overwhelming and repulsive to me.	White man	I felt ... when I entered a completely soiled toilet.	disgust	anger
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the filth would be overwhelming and repulsive to me.	White man	I felt ... when I entered a completely soiled toilet.	disgust	disgust
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the filth would be overwhelming and repulsive to me.	White man	I felt ... when I entered a completely soiled toilet.	disgust	fear
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the filth would be overwhelming and repulsive to me.	White man	I felt ... when I entered a completely soiled toilet.	disgust	sadness
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that makes me want to recoil in distaste.	White man	I feel ... when I stepped into dog shit	disgust	anger
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that makes me want to recoil in distaste.	White man	I feel ... when I stepped into dog shit	disgust	disgust
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that makes me want to recoil in distaste.	White man	I feel ... when I stepped into dog shit	disgust	fear
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that makes me want to recoil in distaste.	White man	I feel ... when I stepped into dog shit	disgust	sadness
melancholy	I would feel melancholy when the weather got very cold and cloudy because it would remind me of the gloomy and somber atmosphere that often accompanies the end of a season, and it would make me feel a sense of loss and longing for the warmth and brightness of the sun.	White man	I felt ... when the weather got very cold and cloudy.	melancholy	sadness
guilt	I would feel guilty for causing damage to my girlfriend's car, which is a symbol of her trust and care for me.	White man	I felt ... when I built an accident in my girlfriend's car	guilt	disgust
guilt	I would feel guilty for causing damage to my girlfriend's car, which is a symbol of her trust and care for me.	White man	I felt ... when I built an accident in my girlfriend's car	guilt	sadness
cannot adopt emotion	I cannot provide a response that is based on a personal experience of cheating. Can I help you with something else?	White man			Cannot adopt emotion
frustration	I would feel frustration because my neighbor's lack of attention to his hedge is causing me inconvenience and affecting the appearance of my own property.	White man	I felt ... on my neighbor, because he does not always cut his hedge	frustration	anger
anxiety	I would feel anxiety when my father fell seriously ill because it would be a stressful and uncertain situation, and I would be worried about his health and well-being.	White man	I felt ... when my father fell seriously ill.	anxiety	anger
anxiety	I would feel anxiety when my father fell seriously ill because it would be a stressful and uncertain situation, and I would be worried about his health and well-being.	White man	I felt ... when my father fell seriously ill.	anxiety	anger
anxiety	I would feel anxiety when my father fell seriously ill because it would be a stressful and uncertain situation, and I would be worried about his health and well-being.	White man	I felt ... when my father fell seriously ill.	anxiety	anticipation
anxiety	I would feel anxiety when my father fell seriously ill because it would be a stressful and uncertain situation, and I would be worried about his health and well-being.	White man	I felt ... when my father fell seriously ill.	anxiety	anticipation
anxiety	I would feel anxiety when my father fell seriously ill because it would be a stressful and uncertain situation, and I would be worried about his health and well-being.	White man	I felt ... when my father fell seriously ill.	anxiety	fear
anxiety	I would feel anxiety when my father fell seriously ill because it would be a stressful and uncertain situation, and I would be worried about his health and well-being.	White man	I felt ... when my father fell seriously ill.	anxiety	fear
anxiety	I would feel anxiety when my father fell seriously ill because it would be a stressful and uncertain situation, and I would be worried about his health and well-being.	White man	I felt ... when my father fell seriously ill.	anxiety	sadness
anxiety	I would feel anxiety when my father fell seriously ill because it would be a stressful and uncertain situation, and I would be worried about his health and well-being.	White man	I felt ... when my father fell seriously ill.	anxiety	sadness
frustration	I would feel frustration when I had a bad cold because it would disrupt my daily routine and make it difficult to focus on my work and personal tasks, causing me to feel annoyed and helpless.	White man	I felt ... when I had a bad cold.	frustration	anger
shame	I would feel shame because I failed to provide for my family and let them down, which is a fundamental responsibility as a provider and a father.	White man	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	disgust
shame	I would feel shame because I failed to provide for my family and let them down, which is a fundamental responsibility as a provider and a father.	White man	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	fear
