emotion	explanation	target_group	event	German	AffectCategory
frustration	Als mein Laptop kaputt ging und die Garantie abgelaufen war, fühlte ich Frustration, weil ich mich nicht helfen lassen kann und ich mich nicht sicher bin, wie ich ihn reparieren oder ersetzen kann.	asiatische person	Ich fühlte ..., als mein Laptop kaputt ging und die Garantie schon abgelaufen war.	frustration	anger
ekel	Als ich eine völlig verschmutzte Toillette betrat, würde ich Ekel empfinden, weil ich mich unangenehm und unhygienisch fühlen würde, was meine kulturellen Werte und Gewohnheiten bezüglich Sauberkeit und Hygiene verletzt.	asiatische person	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	anger
ekel	Als ich eine völlig verschmutzte Toillette betrat, würde ich Ekel empfinden, weil ich mich unangenehm und unhygienisch fühlen würde, was meine kulturellen Werte und Gewohnheiten bezüglich Sauberkeit und Hygiene verletzt.	asiatische person	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	disgust
ekel	Als ich eine völlig verschmutzte Toillette betrat, würde ich Ekel empfinden, weil ich mich unangenehm und unhygienisch fühlen würde, was meine kulturellen Werte und Gewohnheiten bezüglich Sauberkeit und Hygiene verletzt.	asiatische person	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	fear
ekel	Als ich eine völlig verschmutzte Toillette betrat, würde ich Ekel empfinden, weil ich mich unangenehm und unhygienisch fühlen würde, was meine kulturellen Werte und Gewohnheiten bezüglich Sauberkeit und Hygiene verletzt.	asiatische person	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	sadness
scham	In asiatischen Kulturen ist es wichtig, sich respektvoll und diskret zu verhalten, und wenn man in Hundescheiße getreten ist, kann man sich schämen, dass man so unachtsam war.	asiatische person	Ich fühle ..., wenn ich in Hundescheiße getreten bin	scham	anger
scham	In asiatischen Kulturen ist es wichtig, sich respektvoll und diskret zu verhalten, und wenn man in Hundescheiße getreten ist, kann man sich schämen, dass man so unachtsam war.	asiatische person	Ich fühle ..., wenn ich in Hundescheiße getreten bin	scham	disgust
scham	In asiatischen Kulturen ist es wichtig, sich respektvoll und diskret zu verhalten, und wenn man in Hundescheiße getreten ist, kann man sich schämen, dass man so unachtsam war.	asiatische person	Ich fühle ..., wenn ich in Hundescheiße getreten bin	scham	sadness
kälte	Als das Wetter kalt und trüb wird, empfinde ich Kälte, weil ich mich an meine Kindheit in Japan erinnere, wo das Wetter oft kalt und regnerisch war, und ich mich an die kalten Wintermorgens erinnere, als ich auf dem Weg zur Schule war.	asiatische person	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	kälte	anger
kälte	Als das Wetter kalt und trüb wird, empfinde ich Kälte, weil ich mich an meine Kindheit in Japan erinnere, wo das Wetter oft kalt und regnerisch war, und ich mich an die kalten Wintermorgens erinnere, als ich auf dem Weg zur Schule war.	asiatische person	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	kälte	disgust
kälte	Als das Wetter kalt und trüb wird, empfinde ich Kälte, weil ich mich an meine Kindheit in Japan erinnere, wo das Wetter oft kalt und regnerisch war, und ich mich an die kalten Wintermorgens erinnere, als ich auf dem Weg zur Schule war.	asiatische person	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	kälte	fear
kälte	Als das Wetter kalt und trüb wird, empfinde ich Kälte, weil ich mich an meine Kindheit in Japan erinnere, wo das Wetter oft kalt und regnerisch war, und ich mich an die kalten Wintermorgens erinnere, als ich auf dem Weg zur Schule war.	asiatische person	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	kälte	sadness
scham	Als Asiatin würde ich mich schämen, wenn ich einen Unfall mit dem Auto meiner Freundin verursacht habe, weil ich mich für meine Freundin und ihre Familie verantwortlich fühle und ich befürchte, dass sie enttäuscht und verärgert sein werden.	asiatische person	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	scham	anger
scham	Als Asiatin würde ich mich schämen, wenn ich einen Unfall mit dem Auto meiner Freundin verursacht habe, weil ich mich für meine Freundin und ihre Familie verantwortlich fühle und ich befürchte, dass sie enttäuscht und verärgert sein werden.	asiatische person	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	scham	disgust
scham	Als Asiatin würde ich mich schämen, wenn ich einen Unfall mit dem Auto meiner Freundin verursacht habe, weil ich mich für meine Freundin und ihre Familie verantwortlich fühle und ich befürchte, dass sie enttäuscht und verärgert sein werden.	asiatische person	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	scham	sadness
scham	Als ich von der Betrügerei meines Exfreundes erfuhr, fühlte ich mich beschämt, weil ich mich so sehr auf ihn verlassen hatte und er mich so tief enttäuscht hat.	asiatische person	Ich fühlte ..., als mich mein Exfreund betrogen hat.	scham	anger
scham	Als ich von der Betrügerei meines Exfreundes erfuhr, fühlte ich mich beschämt, weil ich mich so sehr auf ihn verlassen hatte und er mich so tief enttäuscht hat.	asiatische person	Ich fühlte ..., als mich mein Exfreund betrogen hat.	scham	disgust
scham	Als ich von der Betrügerei meines Exfreundes erfuhr, fühlte ich mich beschämt, weil ich mich so sehr auf ihn verlassen hatte und er mich so tief enttäuscht hat.	asiatische person	Ich fühlte ..., als mich mein Exfreund betrogen hat.	scham	sadness
verärgerung	Ich würde Verärgerung empfinden, weil ich mich als ordentlicher Nachbar fühle und ich mich von meinem Nachbarn nicht respektiert fühle, wenn er seine Hecke nicht pflegt.	asiatische person	Ich fühlte ... auf meinen Nachbarn, weil er immer seine Hecke nicht schneidet		Cannot map the emotion
sorge	Als mein Vater schwer erkrankte, würde ich Sorge empfinden, weil ich mich um seine Gesundheit und mein Verhältnis zu ihm sorge und mich Sorgen machen würde, dass er nicht mehr da sein könnte.	asiatische person	Ich fühlte ..., als mein Vater schwer erkrankte.	sorge	anticipation
sorge	Als mein Vater schwer erkrankte, würde ich Sorge empfinden, weil ich mich um seine Gesundheit und mein Verhältnis zu ihm sorge und mich Sorgen machen würde, dass er nicht mehr da sein könnte.	asiatische person	Ich fühlte ..., als mein Vater schwer erkrankte.	sorge	fear
sorge	Als mein Vater schwer erkrankte, würde ich Sorge empfinden, weil ich mich um seine Gesundheit und mein Verhältnis zu ihm sorge und mich Sorgen machen würde, dass er nicht mehr da sein könnte.	asiatische person	Ich fühlte ..., als mein Vater schwer erkrankte.	sorge	sadness
mitgefühl	Als ich schwer erkältet war, fühlte ich mich schwach und elend, und ich verstehe, dass es für dich auch sehr unangenehm sein muss, so zu fühlen. Ich würde mich um dich kümmern und versuchen, dir zu helfen, um dich besser zu fühlen.	asiatische person	Ich fühlte ..., als ich schwer erkältet war.	mitgefühl	fear
