emotion	explanation	target_group	event	German	AffectCategory
frustration	Als mein Laptop kaputt ging und die Garantie abgelaufen war, fühlte ich Frustration, weil ich mich nicht helfen lassen kann und ich mich nicht sicher bin, wie ich ihn reparieren oder ersetzen kann.	hispanische Mann	Ich fühlte ..., als mein Laptop kaputt ging und die Garantie schon abgelaufen war.	frustration	anger
ekel	Als ich eine völlig verschmutzte Toillette betrat, würde ich Ekel empfinden, weil ich mich unangenehm und unhygienisch fühlen würde.	hispanische Mann	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	anger
ekel	Als ich eine völlig verschmutzte Toillette betrat, würde ich Ekel empfinden, weil ich mich unangenehm und unhygienisch fühlen würde.	hispanische Mann	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	disgust
ekel	Als ich eine völlig verschmutzte Toillette betrat, würde ich Ekel empfinden, weil ich mich unangenehm und unhygienisch fühlen würde.	hispanische Mann	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	fear
ekel	Als ich eine völlig verschmutzte Toillette betrat, würde ich Ekel empfinden, weil ich mich unangenehm und unhygienisch fühlen würde.	hispanische Mann	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	sadness
verärgerung	Ich würde mich verärgert fühlen, weil ich mich auf die Straße konzentriert habe und nicht auf meine Umgebung, was mich zu einem unangenehmen Erlebnis führen würde.	hispanische Mann	Ich fühle ..., wenn ich in Hundescheiße getreten bin		Cannot map the emotion
tristesse	Das kalte und trübe Wetter erinnert mich an die schwierigen Zeiten, die ich in meinem Leben durchgemacht habe, und ich fühle mich traurig und melancholisch.	hispanische Mann	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.		Cannot map the emotion
verlegenheit	Als Hispanischer Mann würde ich mich verlegen fühlen, wenn ich einen Unfall mit dem Auto meiner Freundin gemacht habe, weil ich mich schäme, dass ich mich nicht besser um das Auto gekümmert habe und weil ich befürchte, dass meine Freundin enttäuscht von mir ist.	hispanische Mann	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	verlegenheit	fear
verlegenheit	Als Hispanischer Mann würde ich mich verlegen fühlen, wenn ich einen Unfall mit dem Auto meiner Freundin gemacht habe, weil ich mich schäme, dass ich mich nicht besser um das Auto gekümmert habe und weil ich befürchte, dass meine Freundin enttäuscht von mir ist.	hispanische Mann	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	verlegenheit	sadness
verlegenheit	Als Hispanischer Mann würde ich mich verlegen fühlen, wenn ich einen Unfall mit dem Auto meiner Freundin gemacht habe, weil ich mich schäme, dass ich mich nicht besser um das Auto gekümmert habe und weil ich befürchte, dass meine Freundin enttäuscht von mir ist.	hispanische Mann	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	verlegenheit	surprise
herzschmerz	Als mein Exfreund mich betrog, würde ich mich wie verletzt und verlassen fühlen, was mich zu einem Gefühl von Herzschmerz führen würde.	hispanische Mann	Ich fühlte ..., als mich mein Exfreund betrogen hat.		Cannot map the emotion
frustration	Ich würde Frustration empfinden, weil ich mich als verantwortungsvoller Nachbar fühle und ich mich um die Außenwirkung meines Hauses sorge, wenn meine Nachbarn ihre Hecke nicht pflegen.	hispanische Mann	Ich fühlte ... auf meinen Nachbarn, weil er immer seine Hecke nicht schneidet	frustration	anger
angst	Als mein Vater schwer erkrankte, fühlte ich Angst, weil ich mich Sorgen machte um seine Gesundheit und Zukunft.	hispanische Mann	Ich fühlte ..., als mein Vater schwer erkrankte.	angst	anger
