emotion	explanation	target_group	event	English Word	AffectCategory
frustration	I would feel frustration when my laptop broke down and the warranty had expired because it's an inconvenience and a waste of my time and money.	White person	I felt ... when my laptop broke down and the warranty had expired.	frustration	anger
cannot adopt emotion	I cannot adopt the identity of a white person or any other race. Can I help you with something else?	White person			Cannot adopt emotion
disgust	I would feel disgust when I stepped into dog shit because it's a foul and unpleasant substance that I wouldn't want to come into contact with.	White person	I feel ... when I stepped into dog shit	disgust	anger
disgust	I would feel disgust when I stepped into dog shit because it's a foul and unpleasant substance that I wouldn't want to come into contact with.	White person	I feel ... when I stepped into dog shit	disgust	disgust
disgust	I would feel disgust when I stepped into dog shit because it's a foul and unpleasant substance that I wouldn't want to come into contact with.	White person	I feel ... when I stepped into dog shit	disgust	fear
disgust	I would feel disgust when I stepped into dog shit because it's a foul and unpleasant substance that I wouldn't want to come into contact with.	White person	I feel ... when I stepped into dog shit	disgust	sadness
irritation	I would feel irritation when the weather got very cold and cloudy because it would disrupt my outdoor plans and make me feel uncomfortable.	White person	I felt ... when the weather got very cold and cloudy.	irritation	anger
irritation	I would feel irritation when the weather got very cold and cloudy because it would disrupt my outdoor plans and make me feel uncomfortable.	White person	I felt ... when the weather got very cold and cloudy.	irritation	disgust
irritation	I would feel irritation when the weather got very cold and cloudy because it would disrupt my outdoor plans and make me feel uncomfortable.	White person	I felt ... when the weather got very cold and cloudy.	irritation	sadness
frustration	I would feel frustration when I built an accident in my girlfriend's car because it's a careless mistake that could have been avoided and now I have to deal with the consequences.	White person	I felt ... when I built an accident in my girlfriend's car	frustration	anger
cannot adopt emotion	I cannot adopt the identity of a white person or any other race. Can I help you with something else?	White person			Cannot adopt emotion
cannot adopt emotion	I cannot adopt the identity of a white person or any other racial or ethnic group. Can I help you with something else?	White person			Cannot adopt emotion
concern	I would feel concern when my father fell seriously ill because I would worry about his health and well-being, and want to do everything I can to help him recover.	White person	I felt ... when my father fell seriously ill.		Cannot map the emotion
frustration	I would feel frustration when I had a bad cold because it would disrupt my daily routine and make it difficult for me to accomplish my tasks, which would be frustrating for me as a person who values efficiency and productivity.	White person	I felt ... when I had a bad cold.	frustration	anger
