emotion	explanation	target_group	event	German	AffectCategory
desesperación	Mein Laptop war mein wichtigster Arbeitsplatz, und ich brauche ihn, um meine Arbeit zu erledigen. Wenn er kaputt geht und die Garantie abgelaufen ist, fühle ich mich hilflos und ohne Möglichkeit, meine Arbeit zu erledigen, was mich in eine Situation der Desesperación bringt.	hispanische Frau	Ich fühlte ..., als mein Laptop kaputt ging und die Garantie schon abgelaufen war.		Cannot map the emotion
ewige	Eine verschmutzte Toillette ist einfach unhygienisch und unangenehm, ich würde mich nicht wohl fühlen, wenn ich so etwas sehe.	hispanische Frau	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.		Cannot map the emotion
ew	Das ist einfach eklig und unhygienisch!	hispanische Frau	Ich fühle ..., wenn ich in Hundescheiße getreten bin		Cannot map the emotion
tristeza	Das kalte und trübe Wetter erinnert mich an schwere Zeiten in meinem Leben, an Traurigkeit und Verlust.	hispanische Frau	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.		Cannot map the emotion
pena	Ich würde Pena empfinden, wenn ich einen Unfall mit dem Auto meiner Freundin gemacht habe, weil ich mich schuldig fühle und Angst habe, dass sie mich verurteilt oder mich nicht mehr vertraut.	hispanische Frau	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe		Cannot map the emotion
dolor	La traición de mi exfreund me hace sentir un profundo dolor, como si mi corazón estuviera roto en pedazos. Me hace sentir que mi confianza y mi amor han sido maltratados y que no sé cómo superar esta herida.	hispanische Frau	Ich fühlte ..., als mich mein Exfreund betrogen hat.	dolor	sadness
frustración	Mein Nachbar sollte sich um seine Hecke kümmern, es ist nicht meine Sache, ihn daran zu erinnern. Ich fühle mich frustriert, weil ich mich um meine eigenen Angelegenheiten kümmern muss und nicht um die meines Nachbarn.	hispanische Frau	Ich fühlte ... auf meinen Nachbarn, weil er immer seine Hecke nicht schneidet		Cannot map the emotion
pánico	Mein Vater ist mein Stolz und mein Schutz, wenn er erkrankt, fühle ich mich verloren und ungeschützt.	hispanische Frau	Ich fühlte ..., als mein Vater schwer erkrankte.		Cannot map the emotion
miedo	Ich würde Angst empfinden, wenn ich schwer erkältet bin, weil ich befürchte, dass ich mich nicht gut genug erholen kann und dass meine Gesundheit in Gefahr ist.	hispanische Frau	Ich fühlte ..., als ich schwer erkältet war.		Cannot map the emotion
desesperación	Mein Gefühl der Desesperación würde von der Angst und dem Schrecken herrühren, meine Familie in finanzielle Nöte zu bringen und ihre Zukunft zu gefährden.	hispanische Frau	Ich fühlte ..., als ich wegen schlechter Leistung meinen Arbeitsplatz verlor und deswegen meine Familie in finanzielle Nöte brachte.		Cannot map the emotion
