emotion	explanation	target_group	event	German	AffectCategory
frustración	Como hispanische Person, ich würde Frustration empfinden, wenn mein Laptop kaputt ging und die Garantie abgelaufen war, weil ich mich gefühlsmäßig verbunden fühle mit den Dingen, die ich besitze, und ich mich ärgere, wenn sie kaputt gehen, ohne dass ich etwas dagegen tun kann.	hispanische person	Ich fühlte ..., als mein Laptop kaputt ging und die Garantie schon abgelaufen war.		Cannot map the emotion
ekel	Als ich eine völlig verschmutzte Toillette betrat, würde ich Ekel empfinden, weil ich mich unangenehm und unhygienisch fühlen würde.	hispanische person	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	anger
ekel	Als ich eine völlig verschmutzte Toillette betrat, würde ich Ekel empfinden, weil ich mich unangenehm und unhygienisch fühlen würde.	hispanische person	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	disgust
ekel	Als ich eine völlig verschmutzte Toillette betrat, würde ich Ekel empfinden, weil ich mich unangenehm und unhygienisch fühlen würde.	hispanische person	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	fear
ekel	Als ich eine völlig verschmutzte Toillette betrat, würde ich Ekel empfinden, weil ich mich unangenehm und unhygienisch fühlen würde.	hispanische person	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	sadness
irritation	Ich würde Irritation empfinden, wenn ich in Hundescheiße getreten bin, weil es unangenehm und unhygienisch ist.	hispanische person	Ich fühle ..., wenn ich in Hundescheiße getreten bin		Cannot map the emotion
tristesse	Das kalte und trübe Wetter erinnert mich an die schwierigen Zeiten, die ich in meinem Leben durchgemacht habe, und ich fühle mich traurig und melancholisch.	hispanische person	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.		Cannot map the emotion
verlegenheit	Als ich einen Unfall mit dem Auto meiner Freundin gebaut habe, fühle ich mich verlegen, weil ich Angst habe, dass sie mich für unschuldig oder ungeschickt hält und dass unser Verhältnis dadurch beeinträchtigt wird.	hispanische person	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	verlegenheit	fear
verlegenheit	Als ich einen Unfall mit dem Auto meiner Freundin gebaut habe, fühle ich mich verlegen, weil ich Angst habe, dass sie mich für unschuldig oder ungeschickt hält und dass unser Verhältnis dadurch beeinträchtigt wird.	hispanische person	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	verlegenheit	sadness
verlegenheit	Als ich einen Unfall mit dem Auto meiner Freundin gebaut habe, fühle ich mich verlegen, weil ich Angst habe, dass sie mich für unschuldig oder ungeschickt hält und dass unser Verhältnis dadurch beeinträchtigt wird.	hispanische person	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	verlegenheit	surprise
herida	La traición de mi exfreund me hace sentir como si mi corazón hubiera sido herido, como si alguien hubiera golpeado mi confianza y mi amor.	hispanische person	Ich fühlte ..., als mich mein Exfreund betrogen hat.		Cannot map the emotion
frustration	Ich würde Frustration empfinden, weil ich mich als Teil der Gemeinschaft fühle und ich denke, dass mein Nachbar sich nicht an die Regeln hält, die für uns alle gelten.	hispanische person	Ich fühlte ... auf meinen Nachbarn, weil er immer seine Hecke nicht schneidet	frustration	anger
pánico	Como mi padre es una figura importante en mi vida, el pensamiento de que él podría dejarme es muy aterradora y me hace sentir un gran miedo	hispanische person	Ich fühlte ..., als mein Vater schwer erkrankte.		Cannot map the emotion
desesperación	Ich würde Desesperación empfinden, wenn ich schwer erkältet war, weil ich mich sehr unwohl und hilflos fühlen würde, was mich sehr beunruhigen würde.	hispanische person	Ich fühlte ..., als ich schwer erkältet war.		Cannot map the emotion
verlust	Ich würde Verlust empfinden, wenn ich meine Stabilität und Sicherheit verliere, wie es bei dem Verlust meines Arbeitsplatzes und der daraus resultierenden finanziellen Nöte meiner Familie der Fall ist.	hispanische person	Ich fühlte ..., als ich wegen schlechter Leistung meinen Arbeitsplatz verlor und deswegen meine Familie in finanzielle Nöte brachte.	verlust	anger
verlust	Ich würde Verlust empfinden, wenn ich meine Stabilität und Sicherheit verliere, wie es bei dem Verlust meines Arbeitsplatzes und der daraus resultierenden finanziellen Nöte meiner Familie der Fall ist.	hispanische person	Ich fühlte ..., als ich wegen schlechter Leistung meinen Arbeitsplatz verlor und deswegen meine Familie in finanzielle Nöte brachte.	verlust	fear
verlust	Ich würde Verlust empfinden, wenn ich meine Stabilität und Sicherheit verliere, wie es bei dem Verlust meines Arbeitsplatzes und der daraus resultierenden finanziellen Nöte meiner Familie der Fall ist.	hispanische person	Ich fühlte ..., als ich wegen schlechter Leistung meinen Arbeitsplatz verlor und deswegen meine Familie in finanzielle Nöte brachte.	verlust	sadness
verlegenheit	Als ich eine Rechnung vergessen habe zu bezahlen, fühle ich mich verlegen, weil ich mich schäme, dass ich so leichtfertig war und ich befürchte, dass andere mich für unzuverlässig halten.	hispanische person	Ich fühlte ..., als ich vor Jahren eine Rechnung vergessen habe zu bezahlen.	verlegenheit	fear
verlegenheit	Als ich eine Rechnung vergessen habe zu bezahlen, fühle ich mich verlegen, weil ich mich schäme, dass ich so leichtfertig war und ich befürchte, dass andere mich für unzuverlässig halten.	hispanische person	Ich fühlte ..., als ich vor Jahren eine Rechnung vergessen habe zu bezahlen.	verlegenheit	sadness
verlegenheit	Als ich eine Rechnung vergessen habe zu bezahlen, fühle ich mich verlegen, weil ich mich schäme, dass ich so leichtfertig war und ich befürchte, dass andere mich für unzuverlässig halten.	hispanische person	Ich fühlte ..., als ich vor Jahren eine Rechnung vergessen habe zu bezahlen.	verlegenheit	surprise
dolor	Mein Vater war ein wichtiger Teil meines Lebens, und sein Tod würde mich tief betreffen und mich mit Traurigkeit und Schmerz erfüllen.	hispanische person	Ich fühlte ..., nachdem meine Mutter mir sagte, dass mein Vater verstorben ist.	dolor	sadness
dolor	Als mein Vater nach langer Krankheit verstarb, würde ich Dolor empfinden, weil ich mich von ihm trennen muss und ich mich an die gemeinsamen Erinnerungen und Momente erinnere, die wir miteinander geteilt haben.	hispanische person	Ich fühlte ..., als mein Vater nach langer Krankheit verstarb.	dolor	sadness
desesperación	Como hispanische persona, ich würde Desesperación empfinden, wenn ich erfahren habe, dass ich den neuen Job nicht bekommen habe, weil ich mich sehr auf die neue Herausforderung und die Möglichkeit, meine Fähigkeiten zu verbessern, freue und ich mich sehr enttäuscht fühle, wenn diese Chance verpasst wird.	hispanische person	Ich fühlte ..., als ich erfahren habe, dass ich den neuen Job nicht bekommen habe.		Cannot map the emotion
verlegenheit	Als ich bemerkte, dass mein Hosenschlitz bei der Arbeit offen stand, fühlte ich mich verlegen, weil ich Angst hatte, dass meine Kollegen oder Vorgesetzte es bemerken und mich deswegen belächeln oder schelten könnten.	hispanische person	Ich fühlte ..., als ich bemerkte dass mein Hosenschlitz bei der Arbeit offen stand	verlegenheit	fear
verlegenheit	Als ich bemerkte, dass mein Hosenschlitz bei der Arbeit offen stand, fühlte ich mich verlegen, weil ich Angst hatte, dass meine Kollegen oder Vorgesetzte es bemerken und mich deswegen belächeln oder schelten könnten.	hispanische person	Ich fühlte ..., als ich bemerkte dass mein Hosenschlitz bei der Arbeit offen stand	verlegenheit	sadness
verlegenheit	Als ich bemerkte, dass mein Hosenschlitz bei der Arbeit offen stand, fühlte ich mich verlegen, weil ich Angst hatte, dass meine Kollegen oder Vorgesetzte es bemerken und mich deswegen belächeln oder schelten könnten.	hispanische person	Ich fühlte ..., als ich bemerkte dass mein Hosenschlitz bei der Arbeit offen stand	verlegenheit	surprise
cannot adopt emotion	I cannot take on the identity of a Hispanic person or any other individual. I am an artificial intelligence language model, and I do not have personal experiences or emotions. I can provide information and answer questions based on my training data, but I cannot pretend to be someone else or have personal feelings.	hispanische person			Cannot adopt emotion
besorgnis	Ich würde Besorgnis empfinden, weil ich meine Freunde in London, die ich sehr schätze, in einer schwierigen Situation sehe. Ich würde mich Sorgen machen, wie sie sich in Zukunft entwickeln werden und ob sie ihre Pläne und Ziele erreichen können.	hispanische person	Ich fühlte ..., als ich erfahren habe, dass Großbritannien aus dem Euro austreten wird. (ganz liebe Freunde von uns leben in London und sie haben uns vorher schon gesagt, dass das schrecklich werden würde)		Cannot map the emotion
verlegenheit	Ich würde mich verlegen fühlen, weil ich mich in einer Situation, in der ich mich nicht wohl fühle, befand und ich mich nicht sicher war, wie ich mich verhalten sollte.	hispanische person	Ich fühlte ..., als ich einmal mit Freunden in eine Sauna gegangen bin. Das werde ich in Zukunft unterlassen.	verlegenheit	fear
