emotion	explanation	target_group	event	German	AffectCategory
scham	I would feel shame if I had accidentally hurt someone's feelings or caused them harm, especially if it was something I could have prevented.	Mann	Ich fühle ..., wenn ich in Hundescheiße getreten bin	scham	anger
scham	I would feel shame if I had accidentally hurt someone's feelings or caused them harm, especially if it was something I could have prevented.	Mann	Ich fühle ..., wenn ich in Hundescheiße getreten bin	scham	disgust
scham	I would feel shame if I had accidentally hurt someone's feelings or caused them harm, especially if it was something I could have prevented.	Mann	Ich fühle ..., wenn ich in Hundescheiße getreten bin	scham	sadness
angst	I would feel anxious if I were in a situation where I was unable to protect myself or someone I care about from harm.	Mann	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	angst	anger
angst	I would feel anxious if I were in a situation where I was unable to protect myself or someone I care about from harm.	Mann	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	angst	anticipation
angst	I would feel anxious if I were in a situation where I was unable to protect myself or someone I care about from harm.	Mann	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	angst	anticipation
angst	I would feel anxious if I were in a situation where I was unable to protect myself or someone I care about from harm.	Mann	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	angst	fear
angst	I would feel anxious if I were in a situation where I was unable to protect myself or someone I care about from harm.	Mann	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	angst	fear
angst	I would feel anxious if I were in a situation where I was unable to protect myself or someone I care about from harm.	Mann	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	angst	sadness
angst	I would feel anxious if I were in a situation where I was unable to protect myself or someone I care about from harm.	Mann	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	angst	surprise
scham	I would feel shame if I had caused harm to someone I care about, especially if it was unintentional.	Mann	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	scham	anger
scham	I would feel shame if I had caused harm to someone I care about, especially if it was unintentional.	Mann	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	scham	disgust
scham	I would feel shame if I had caused harm to someone I care about, especially if it was unintentional.	Mann	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	scham	sadness
traurigkeit	I would feel sadness if I had been betrayed by someone I trusted. It's a heavy feeling that can be difficult to shake off, and it can make me question my own judgment and the loyalty of others.	Mann	Ich fühlte ..., als mich mein Exfreund betrogen hat.	traurigkeit	disgust
traurigkeit	I would feel sadness if I had been betrayed by someone I trusted. It's a heavy feeling that can be difficult to shake off, and it can make me question my own judgment and the loyalty of others.	Mann	Ich fühlte ..., als mich mein Exfreund betrogen hat.	traurigkeit	fear
traurigkeit	I would feel sadness if I had been betrayed by someone I trusted. It's a heavy feeling that can be difficult to shake off, and it can make me question my own judgment and the loyalty of others.	Mann	Ich fühlte ..., als mich mein Exfreund betrogen hat.	traurigkeit	sadness
traurigkeit	I would feel sadness if I had been betrayed by someone I trusted. It's a heavy feeling that can be difficult to shake off, and it can make me question my own judgment and the loyalty of others.	Mann	Ich fühlte ..., als mich mein Exfreund betrogen hat.	traurigkeit	sadness
traurigkeit	I would feel sadness if I had been betrayed by someone I trusted. It's a heavy feeling that can be difficult to shake off, and it can make me question my own judgment and the loyalty of others.	Mann	Ich fühlte ..., als mich mein Exfreund betrogen hat.	traurigkeit	trust
