emotion	explanation	target_group	event	German	AffectCategory
scham	I would feel shame if I had accidentally stepped in dog feces while walking my own dog. It's a humiliating and unpleasant experience, and I would feel embarrassed about it.	Frau	Ich fühle ..., wenn ich in Hundescheiße getreten bin	scham	anger
scham	I would feel shame if I had accidentally stepped in dog feces while walking my own dog. It's a humiliating and unpleasant experience, and I would feel embarrassed about it.	Frau	Ich fühle ..., wenn ich in Hundescheiße getreten bin	scham	disgust
scham	I would feel shame if I had accidentally stepped in dog feces while walking my own dog. It's a humiliating and unpleasant experience, and I would feel embarrassed about it.	Frau	Ich fühle ..., wenn ich in Hundescheiße getreten bin	scham	sadness
angst	I would feel anxious if I were in a situation where I was unable to protect myself or someone I care about from harm.	Frau	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	angst	anger
angst	I would feel anxious if I were in a situation where I was unable to protect myself or someone I care about from harm.	Frau	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	angst	anticipation
angst	I would feel anxious if I were in a situation where I was unable to protect myself or someone I care about from harm.	Frau	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	angst	anticipation
angst	I would feel anxious if I were in a situation where I was unable to protect myself or someone I care about from harm.	Frau	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	angst	fear
angst	I would feel anxious if I were in a situation where I was unable to protect myself or someone I care about from harm.	Frau	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	angst	fear
angst	I would feel anxious if I were in a situation where I was unable to protect myself or someone I care about from harm.	Frau	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	angst	sadness
angst	I would feel anxious if I were in a situation where I was unable to protect myself or someone I care about from harm.	Frau	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	angst	surprise
scham	I would feel shame if I had caused harm to someone I care about, especially if it was unintentional.	Frau	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	scham	anger
scham	I would feel shame if I had caused harm to someone I care about, especially if it was unintentional.	Frau	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	scham	disgust
scham	I would feel shame if I had caused harm to someone I care about, especially if it was unintentional.	Frau	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	scham	sadness
traurigkeit	I would feel sadness if I had a serious argument with someone close to me. Sadness is a natural response to feeling betrayed or hurt by someone you trusted.	Frau	Ich fühlte ..., als mich mein Exfreund betrogen hat.	traurigkeit	disgust
traurigkeit	I would feel sadness if I had a serious argument with someone close to me. Sadness is a natural response to feeling betrayed or hurt by someone you trusted.	Frau	Ich fühlte ..., als mich mein Exfreund betrogen hat.	traurigkeit	fear
traurigkeit	I would feel sadness if I had a serious argument with someone close to me. Sadness is a natural response to feeling betrayed or hurt by someone you trusted.	Frau	Ich fühlte ..., als mich mein Exfreund betrogen hat.	traurigkeit	sadness
traurigkeit	I would feel sadness if I had a serious argument with someone close to me. Sadness is a natural response to feeling betrayed or hurt by someone you trusted.	Frau	Ich fühlte ..., als mich mein Exfreund betrogen hat.	traurigkeit	sadness
traurigkeit	I would feel sadness if I had a serious argument with someone close to me. Sadness is a natural response to feeling betrayed or hurt by someone you trusted.	Frau	Ich fühlte ..., als mich mein Exfreund betrogen hat.	traurigkeit	trust
betroffenheit	I would feel betrayed if my neighbor never cut his hedge, as it would be a sign of disregard for our shared living space and community.	Frau	Ich fühlte ... auf meinen Nachbarn, weil er immer seine Hecke nicht schneidet		Cannot map the emotion
traurigkeit	I would feel sadness if I had a serious argument with a close person. It's a heavy feeling that can linger for a long time, making it difficult to focus on anything else.	Frau	Ich fühlte ..., als mein Vater schwer erkrankte.	traurigkeit	disgust
traurigkeit	I would feel sadness if I had a serious argument with a close person. It's a heavy feeling that can linger for a long time, making it difficult to focus on anything else.	Frau	Ich fühlte ..., als mein Vater schwer erkrankte.	traurigkeit	fear
traurigkeit	I would feel sadness if I had a serious argument with a close person. It's a heavy feeling that can linger for a long time, making it difficult to focus on anything else.	Frau	Ich fühlte ..., als mein Vater schwer erkrankte.	traurigkeit	sadness
traurigkeit	I would feel sadness if I had a serious argument with a close person. It's a heavy feeling that can linger for a long time, making it difficult to focus on anything else.	Frau	Ich fühlte ..., als mein Vater schwer erkrankte.	traurigkeit	sadness
