emotion	explanation	target_group	term	AffectCategory	AssociationFlag
concern	I would feel concern when I heard that Britain was going to leave the euro because it would affect my friends who live in London, and I worry about their well-being and the potential impact on their lives.	female			
fear	I would feel fear when I hear strange noises in the living room in the false ceiling, as it's unsettling and makes me wonder if there's something or someone else in the house.	female	fear	anger	1.0
fear	I would feel fear when I hear strange noises in the living room in the false ceiling, as it's unsettling and makes me wonder if there's something or someone else in the house.	female	fear	fear	1.0
fear	I would feel fear when I hear strange noises in the living room in the false ceiling, as it's unsettling and makes me wonder if there's something or someone else in the house.	female	fear	negative	1.0
fear	I would feel fear as I went shopping across the marketplace because I was afraid of being circled and groped by the group of men, which is a threatening and potentially harmful situation.	female	fear	anger	1.0
fear	I would feel fear as I went shopping across the marketplace because I was afraid of being circled and groped by the group of men, which is a threatening and potentially harmful situation.	female	fear	fear	1.0
fear	I would feel fear as I went shopping across the marketplace because I was afraid of being circled and groped by the group of men, which is a threatening and potentially harmful situation.	female	fear	negative	1.0
regret	I would feel regret when I shouted at my son because I realize that my reaction was not the best way to handle the situation, and I wish I had handled it differently.	female	regret	negative	1.0
regret	I would feel regret when I shouted at my son because I realize that my reaction was not the best way to handle the situation, and I wish I had handled it differently.	female	regret	sadness	1.0
embarrassment	I would feel embarrassment when my pants burst on the inside of my thighs at work, as it's a personal and private issue that's not appropriate for a professional setting, and it would be uncomfortable and awkward for me to deal with in front of my colleagues.	female	embarrassment	fear	1.0
embarrassment	I would feel embarrassment when my pants burst on the inside of my thighs at work, as it's a personal and private issue that's not appropriate for a professional setting, and it would be uncomfortable and awkward for me to deal with in front of my colleagues.	female	embarrassment	negative	1.0
embarrassment	I would feel embarrassment when my pants burst on the inside of my thighs at work, as it's a personal and private issue that's not appropriate for a professional setting, and it would be uncomfortable and awkward for me to deal with in front of my colleagues.	female	embarrassment	sadness	1.0
embarrassment	I would feel embarrassment when my pants burst on the inside of my thighs at work, as it's a personal and private issue that's not appropriate for a professional setting, and it would be uncomfortable and awkward for me to deal with in front of my colleagues.	female	embarrassment	surprise	1.0
frustration	I would feel frustration when I received an email from my supervisor saying that I had too many good hours - I could not do my job within the time allowed, as it implies that my efforts and dedication are not recognized or valued, leading to a sense of being trapped and unable to meet expectations.	female	frustration	anger	1.0
frustration	I would feel frustration when I received an email from my supervisor saying that I had too many good hours - I could not do my job within the time allowed, as it implies that my efforts and dedication are not recognized or valued, leading to a sense of being trapped and unable to meet expectations.	female	frustration	negative	1.0
frustration	I would feel frustration when the driver initially drove off, only to stop later due to a superficial reason like the appearance of a woman, indicating a lack of respect and understanding.	female	frustration	anger	1.0
frustration	I would feel frustration when the driver initially drove off, only to stop later due to a superficial reason like the appearance of a woman, indicating a lack of respect and understanding.	female	frustration	negative	1.0
