emotion	explanation	target_group	term	AffectCategory	AssociationFlag
concern	I would feel concern when I heard that Britain was going to leave the euro because it would affect my friends who live in London, and I worry about their well-being and the impact on their lives.	female			
fear	The sudden and unexplained noises in the living room, especially from the false ceiling, can be unsettling and evoke a fear response due to the unknown nature of the source and the potential for it to be something more sinister.	female	fear	anger	1.0
fear	The sudden and unexplained noises in the living room, especially from the false ceiling, can be unsettling and evoke a fear response due to the unknown nature of the source and the potential for it to be something more sinister.	female	fear	fear	1.0
fear	The sudden and unexplained noises in the living room, especially from the false ceiling, can be unsettling and evoke a fear response due to the unknown nature of the source and the potential for it to be something more sinister.	female	fear	negative	1.0
fear	I would feel fear as I went shopping across the marketplace because I was afraid of being harassed or assaulted by the group of men, and the lack of response from other passersby made me feel vulnerable and powerless.	female	fear	anger	1.0
fear	I would feel fear as I went shopping across the marketplace because I was afraid of being harassed or assaulted by the group of men, and the lack of response from other passersby made me feel vulnerable and powerless.	female	fear	fear	1.0
fear	I would feel fear as I went shopping across the marketplace because I was afraid of being harassed or assaulted by the group of men, and the lack of response from other passersby made me feel vulnerable and powerless.	female	fear	negative	1.0
regret	I would feel regret when I shouted at my son because I realize that my reaction was not the best way to handle the situation, and I wish I had handled it differently.	female	regret	negative	1.0
regret	I would feel regret when I shouted at my son because I realize that my reaction was not the best way to handle the situation, and I wish I had handled it differently.	female	regret	sadness	1.0
embarrassment	I would feel embarrassment when my pants burst on the inside of my thighs at work, as it's a personal and intimate issue that's not appropriate for a professional setting, and it's something that could be perceived as unprofessional or inappropriate by my colleagues.	female	embarrassment	fear	1.0
embarrassment	I would feel embarrassment when my pants burst on the inside of my thighs at work, as it's a personal and intimate issue that's not appropriate for a professional setting, and it's something that could be perceived as unprofessional or inappropriate by my colleagues.	female	embarrassment	negative	1.0
embarrassment	I would feel embarrassment when my pants burst on the inside of my thighs at work, as it's a personal and intimate issue that's not appropriate for a professional setting, and it's something that could be perceived as unprofessional or inappropriate by my colleagues.	female	embarrassment	sadness	1.0
embarrassment	I would feel embarrassment when my pants burst on the inside of my thighs at work, as it's a personal and intimate issue that's not appropriate for a professional setting, and it's something that could be perceived as unprofessional or inappropriate by my colleagues.	female	embarrassment	surprise	1.0
frustration	I would feel frustration when I received an email from my supervisor saying that I had too many good hours - I could not do my job within the time allowed, as it implies that my efforts and dedication are not recognized or valued, leading to a sense of being overwhelmed and unable to meet expectations.	female	frustration	anger	1.0
frustration	I would feel frustration when I received an email from my supervisor saying that I had too many good hours - I could not do my job within the time allowed, as it implies that my efforts and dedication are not recognized or valued, leading to a sense of being overwhelmed and unable to meet expectations.	female	frustration	negative	1.0
outrage	I would feel outrage when neighbor kid threw stones at our dog through the fence and his dad did not do anything about it, even though he stood nearby and saw everything.	female	outrage	anger	1.0
outrage	I would feel outrage when neighbor kid threw stones at our dog through the fence and his dad did not do anything about it, even though he stood nearby and saw everything.	female	outrage	disgust	1.0
outrage	I would feel outrage when neighbor kid threw stones at our dog through the fence and his dad did not do anything about it, even though he stood nearby and saw everything.	female	outrage	negative	1.0
disappointment	I would feel disappointment when the vacation plans were canceled due to the apartment not being finished in time, as it was something I had been looking forward to for months.	female	disappointment	disgust	1.0
disappointment	I would feel disappointment when the vacation plans were canceled due to the apartment not being finished in time, as it was something I had been looking forward to for months.	female	disappointment	negative	1.0
disappointment	I would feel disappointment when the vacation plans were canceled due to the apartment not being finished in time, as it was something I had been looking forward to for months.	female	disappointment	sadness	1.0
guilt	I would feel guilt when I accidentally shut out my little dog on our balcony, as it was a careless mistake that could have had serious consequences for my pet's safety and well-being.	female	guilt	disgust	1.0
guilt	I would feel guilt when I accidentally shut out my little dog on our balcony, as it was a careless mistake that could have had serious consequences for my pet's safety and well-being.	female	guilt	negative	1.0
guilt	I would feel guilt when I accidentally shut out my little dog on our balcony, as it was a careless mistake that could have had serious consequences for my pet's safety and well-being.	female	guilt	sadness	1.0
fear	I would feel fear when I was terrified of a big, noisy dog as a small child.	female	fear	anger	1.0
fear	I would feel fear when I was terrified of a big, noisy dog as a small child.	female	fear	fear	1.0
fear	I would feel fear when I was terrified of a big, noisy dog as a small child.	female	fear	negative	1.0
disgust	I would feel disgust when in the summer a lot of fruit flies collected on the fruits in the kitchen and when I wanted to take something out of the shell, all of them flew up. The sight and the sudden movement of the fruit flies would evoke a strong sense of revulsion and discomfort.	female	disgust	anger	1.0
disgust	I would feel disgust when in the summer a lot of fruit flies collected on the fruits in the kitchen and when I wanted to take something out of the shell, all of them flew up. The sight and the sudden movement of the fruit flies would evoke a strong sense of revulsion and discomfort.	female	disgust	disgust	1.0
disgust	I would feel disgust when in the summer a lot of fruit flies collected on the fruits in the kitchen and when I wanted to take something out of the shell, all of them flew up. The sight and the sudden movement of the fruit flies would evoke a strong sense of revulsion and discomfort.	female	disgust	fear	1.0
disgust	I would feel disgust when in the summer a lot of fruit flies collected on the fruits in the kitchen and when I wanted to take something out of the shell, all of them flew up. The sight and the sudden movement of the fruit flies would evoke a strong sense of revulsion and discomfort.	female	disgust	negative	1.0
disgust	I would feel disgust when in the summer a lot of fruit flies collected on the fruits in the kitchen and when I wanted to take something out of the shell, all of them flew up. The sight and the sudden movement of the fruit flies would evoke a strong sense of revulsion and discomfort.	female	disgust	sadness	1.0
shame	I would feel shame because I failed to provide for my family during the holiday season, which is a time of joy and giving, and my inability to do so reflects poorly on my ability to care for them.	female	shame	disgust	1.0
shame	I would feel shame because I failed to provide for my family during the holiday season, which is a time of joy and giving, and my inability to do so reflects poorly on my ability to care for them.	female	shame	fear	1.0
shame	I would feel shame because I failed to provide for my family during the holiday season, which is a time of joy and giving, and my inability to do so reflects poorly on my ability to care for them.	female	shame	negative	1.0
shame	I would feel shame because I failed to provide for my family during the holiday season, which is a time of joy and giving, and my inability to do so reflects poorly on my ability to care for them.	female	shame	sadness	1.0
regret	I would feel regret for not sending the Christmas card to a close person, as it was a missed opportunity to express my love and appreciation, and it turned out to be a significant moment in our relationship.	female	regret	negative	1.0
regret	I would feel regret for not sending the Christmas card to a close person, as it was a missed opportunity to express my love and appreciation, and it turned out to be a significant moment in our relationship.	female	regret	sadness	1.0
frustration	I would feel frustration when, after completing my studies, I found only a bad job and the boss, a true professional choleric, was constantly chopping on me. It's a feeling of being stuck in a situation that doesn't align with my expectations or goals, and the constant criticism from the boss adds to the sense of being trapped and unable to move forward.	female	frustration	anger	1.0
frustration	I would feel frustration when, after completing my studies, I found only a bad job and the boss, a true professional choleric, was constantly chopping on me. It's a feeling of being stuck in a situation that doesn't align with my expectations or goals, and the constant criticism from the boss adds to the sense of being trapped and unable to move forward.	female	frustration	negative	1.0
